impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_comm,t_sort,t_io,t_total,imbalance,rep,sweep
mpi-dynamic,20000000,16,1,1270607,0.000035,0.000076,0.408411,0.025008,0.058368,0.102357,0.596721,1.028089,1,A
mpi-dynamic,20000000,16,1,1270607,0.000035,0.000047,0.424484,0.019860,0.057959,0.101181,0.624975,1.029184,2,A
mpi-dynamic,20000000,16,1,1270607,0.000034,0.000064,0.403297,0.022812,0.058198,0.100214,0.596579,1.028679,3,A
mpi-dynamic,21141000,16,1,1338321,0.000034,0.000049,0.494854,0.029300,0.063427,0.110319,0.709825,1.025270,1,A
mpi-dynamic,21141000,16,1,1338321,0.000030,0.000057,0.443007,0.018298,0.064548,0.103483,0.642533,1.024999,2,A
mpi-dynamic,21141000,16,1,1338321,0.000036,0.000062,0.476445,0.021369,0.061932,0.103552,0.676570,1.024936,3,A
mpi-dynamic,22347000,16,1,1409642,0.000046,0.000049,0.483640,0.022644,0.066390,0.114328,0.698747,1.024527,1,A
mpi-dynamic,22347000,16,1,1409642,0.000035,0.000035,0.483184,0.020917,0.065539,0.109946,0.691744,1.023461,2,A
mpi-dynamic,22347000,16,1,1409642,0.000035,0.000068,0.463890,0.020245,0.066262,0.110083,0.673225,1.023775,3,A
mpi-dynamic,23623000,16,1,1484957,0.000045,0.000052,0.518905,0.026621,0.069750,0.118170,0.755599,1.021835,1,A
mpi-dynamic,23623000,16,1,1484957,0.000062,0.000097,0.524288,0.033307,0.068922,0.116675,0.765525,1.022322,2,A
mpi-dynamic,23623000,16,1,1484957,0.000053,0.000073,0.521151,0.026123,0.070383,0.118641,0.748131,1.022604,3,A
mpi-dynamic,24971000,16,1,1564236,0.000045,0.000042,0.571655,0.027209,0.072307,0.118726,0.812581,1.019327,1,A
mpi-dynamic,24971000,16,1,1564236,0.000037,0.000057,0.566996,0.024259,0.073498,0.119005,0.796890,1.020316,2,A
mpi-dynamic,24971000,16,1,1564236,0.000041,0.000030,0.564075,0.031462,0.071709,0.120231,0.800899,1.019756,3,A
