impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_lsort,t_comm,t_sort,t_io,t_total,imbalance,workers,rep,sweep
hybrid-dynamic,20000000,4,16,1270607,0.000077,0.000031,0.167446,0.023705,0.013700,0.051763,0.117157,0.394605,1.006338,64,1,A
hybrid-dynamic,20000000,4,16,1270607,0.000090,0.000039,0.155715,0.025682,0.017576,0.052795,0.122475,0.395177,1.005411,64,2,A
hybrid-dynamic,20000000,4,16,1270607,0.000079,0.000022,0.264079,0.042212,0.018087,0.051564,0.123750,0.520138,1.015410,64,3,A
hybrid-dynamic,21141000,4,16,1338321,0.000078,0.000043,0.212221,0.031720,0.015814,0.054485,0.144821,0.478465,1.008970,64,1,A
hybrid-dynamic,21141000,4,16,1338321,0.000078,0.000026,0.243177,0.030321,0.017841,0.054334,0.143294,0.511491,1.007142,64,2,A
hybrid-dynamic,21141000,4,16,1338321,0.000076,0.000034,0.172734,0.025356,0.013686,0.055314,0.126980,0.425520,1.007120,64,3,A
hybrid-dynamic,22347000,4,16,1409642,0.000078,0.000042,0.190718,0.028684,0.018704,0.058609,0.157314,0.475589,1.007057,64,1,A
hybrid-dynamic,22347000,4,16,1409642,0.000077,0.000036,0.184885,0.026813,0.013135,0.059170,0.157861,0.462221,1.010706,64,2,A
hybrid-dynamic,22347000,4,16,1409642,0.000076,0.000035,0.185923,0.026547,0.014225,0.058962,0.136830,0.444035,1.009520,64,3,A
hybrid-dynamic,23623000,4,16,1484957,0.000085,0.000037,0.237846,0.031950,0.015862,0.060147,0.134420,0.501935,1.000636,64,1,A
hybrid-dynamic,23623000,4,16,1484957,0.000081,0.000024,0.199468,0.029110,0.018460,0.060360,0.136400,0.465524,1.002149,64,2,A
hybrid-dynamic,23623000,4,16,1484957,0.000075,0.000017,0.248109,0.030226,0.020884,0.060452,0.130161,0.511339,1.007692,64,3,A
hybrid-dynamic,24971000,4,16,1564236,0.000085,0.000046,0.268208,0.034720,0.018762,0.064465,0.143927,0.550118,1.005060,64,1,A
hybrid-dynamic,24971000,4,16,1564236,0.000072,0.000037,0.232822,0.028278,0.019601,0.065043,0.174067,0.539249,1.009043,64,2,A
hybrid-dynamic,24971000,4,16,1564236,0.000077,0.000024,0.302412,0.033422,0.015618,0.065610,0.160018,0.596324,1.011291,64,3,A
hybrid-dynamic,26396000,4,16,1647664,0.000079,0.000041,0.239419,0.031210,0.021416,0.068770,0.210563,0.590274,1.016697,64,1,A
