impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_comm,t_sort,t_io,t_total,imbalance,rep,sweep
mpi-dynamic,45979000,16,1,2773856,0.000035,0.000045,1.280412,0.040638,0.132376,0.199823,1.675720,1.008487,1,A
mpi-dynamic,45979000,16,1,2773856,0.000050,0.000064,1.263591,0.040358,0.133304,0.203659,1.663892,1.008890,2,A
mpi-dynamic,45979000,16,1,2773856,0.000041,0.000091,1.293495,0.042719,0.132044,0.204593,1.676330,1.009323,3,A
mpi-dynamic,48603000,16,1,2922171,0.000035,0.000069,1.408486,0.045973,0.138775,0.215781,1.822156,1.008103,1,A
mpi-dynamic,48603000,16,1,2922171,0.000039,0.000068,1.365110,0.042547,0.139200,0.219920,1.778981,1.008749,2,A
mpi-dynamic,48603000,16,1,2922171,0.000038,0.000080,1.364566,0.045754,0.139374,0.216103,1.788097,1.008320,3,A
mpi-dynamic,51377000,16,1,3078697,0.000038,0.000052,1.478681,0.036246,0.145881,0.222719,1.895372,1.007119,1,A
mpi-dynamic,51377000,16,1,3078697,0.000038,0.000055,1.471181,0.053511,0.145693,0.227910,1.911070,1.007939,2,A
mpi-dynamic,51377000,16,1,3078697,0.000047,0.000047,1.487404,0.048510,0.148234,0.250120,1.956026,1.007519,3,A
mpi-dynamic,54309000,16,1,3243460,0.000045,0.000103,1.617790,0.059647,0.163439,0.246027,2.109112,1.006576,1,A
mpi-dynamic,54309000,16,1,3243460,0.000039,0.000055,1.594831,0.065579,0.154820,0.248961,2.085921,1.007635,2,A
mpi-dynamic,54309000,16,1,3243460,0.000037,0.000038,1.617200,0.056297,0.155479,0.245047,2.096438,1.007534,3,A
mpi-dynamic,57408000,16,1,3417382,0.000047,0.000047,1.733829,0.060952,0.169537,0.258027,2.234348,1.012073,1,A
mpi-dynamic,57408000,16,1,3417382,0.000040,0.000058,1.718741,0.063168,0.163321,0.254107,2.211646,1.006403,2,A
mpi-dynamic,57408000,16,1,3417382,0.000053,0.000052,1.729389,0.061788,0.169511,0.258822,2.241807,1.006617,3,A
mpi-dynamic,60684000,16,1,3600335,0.000064,0.000064,1.866921,0.058472,0.179750,0.274637,2.401504,1.005869,1,A
mpi-dynamic,60684000,16,1,3600335,0.000061,0.000044,1.882318,0.066748,0.181106,0.269204,2.411861,1.006561,2,A
mpi-dynamic,60684000,16,1,3600335,0.000064,0.000084,1.900201,0.057992,0.179807,0.282652,2.442651,1.011409,3,A
mpi-dynamic,64147000,16,1,3793289,0.000048,0.000048,2.029229,0.048111,0.189137,0.290996,2.570696,1.005900,1,A
mpi-dynamic,64147000,16,1,3793289,0.000060,0.000037,2.015618,0.051797,0.186588,0.286489,2.562988,1.005924,2,A
mpi-dynamic,64147000,16,1,3793289,0.000064,0.000070,2.027807,0.068749,0.191463,0.283935,2.583515,1.006074,3,A
mpi-dynamic,67808000,16,1,3996668,0.000054,0.000085,2.253971,0.056275,0.205485,0.381374,2.909241,1.005188,1,A
mpi-dynamic,67808000,16,1,3996668,0.000053,0.000072,2.213828,0.063730,0.221915,0.309462,2.811763,1.005369,2,A
mpi-dynamic,67808000,16,1,3996668,0.000110,0.000067,2.310634,0.082095,0.217305,0.302494,2.923426,1.004996,3,A
mpi-dynamic,71677000,16,1,4210896,0.000037,0.000031,2.362184,0.073632,0.213904,0.318503,2.990016,1.005214,1,A
mpi-dynamic,71677000,16,1,4210896,0.000039,0.000073,2.350612,0.054537,0.211972,0.340539,2.979759,1.005266,2,A
mpi-dynamic,71677000,16,1,4210896,0.000039,0.000053,2.359292,0.073397,0.210181,0.315407,2.971034,1.005018,3,A
mpi-dynamic,75768000,16,1,4436716,0.000035,0.000055,2.544679,0.060271,0.221734,0.339540,3.179746,1.004568,1,A
mpi-dynamic,75768000,16,1,4436716,0.000071,0.000034,2.549680,0.067945,0.223725,0.334546,3.198075,1.004812,2,A
mpi-dynamic,75768000,16,1,4436716,0.000053,0.000069,2.554221,0.082755,0.224973,0.343401,3.227901,1.004806,3,A
mpi-dynamic,80092000,16,1,4674432,0.000058,0.000067,2.756442,0.058536,0.233513,0.343616,3.395262,1.004539,1,A
