impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_lsort,t_comm,t_sort,t_io,t_total,imbalance,workers,rep,sweep
hybrid-dynamic,64147000,4,16,3793289,0.000087,0.000025,0.788923,0.078031,0.037122,0.168291,0.330548,1.424393,1.003544,64,3,A
hybrid-dynamic,67808000,4,16,3996668,0.000079,0.000041,0.725648,0.066876,0.045053,0.177991,0.341410,1.378630,1.001542,64,1,A
hybrid-dynamic,67808000,4,16,3996668,0.000091,0.000048,0.841926,0.076443,0.041816,0.178343,0.317962,1.479425,1.001209,64,2,A
hybrid-dynamic,67808000,4,16,3996668,0.000077,0.000043,1.007883,0.095597,0.054923,0.172853,0.376157,1.730205,1.001433,64,3,A
hybrid-dynamic,71677000,4,16,4210896,0.000106,0.000054,1.714655,0.068333,0.048939,0.235406,0.400940,2.490765,1.006732,64,1,A
hybrid-dynamic,71677000,4,16,4210896,0.000102,0.000051,0.910899,0.080776,0.051326,0.237072,0.415892,1.715481,1.003429,64,2,A
hybrid-dynamic,71677000,4,16,4210896,0.000115,0.000047,1.074856,0.098557,0.039802,0.191098,0.405056,1.826313,1.005045,64,3,A
hybrid-dynamic,75768000,4,16,4436716,0.000078,0.000040,1.000702,0.082877,0.051512,0.200051,0.426698,1.783842,1.001094,64,1,A
hybrid-dynamic,75768000,4,16,4436716,0.000082,0.000028,1.518073,0.077880,0.047233,0.198192,0.387011,2.249859,1.003116,64,2,A
hybrid-dynamic,75768000,4,16,4436716,0.000090,0.000031,1.082765,0.086626,0.051460,0.197875,0.411078,1.861255,1.000880,64,3,A
hybrid-dynamic,80092000,4,16,4674432,0.000074,0.000038,1.369617,0.111909,0.070598,0.210619,0.388000,2.169582,1.002407,64,1,A
hybrid-dynamic,80092000,4,16,4674432,0.000081,0.000026,1.063348,0.088493,0.062863,0.212191,0.402553,1.860411,1.002638,64,2,A
hybrid-dynamic,80092000,4,16,4674432,0.000075,0.000018,1.148473,0.086993,0.072353,0.210951,0.397756,1.937515,1.001864,64,3,A
hybrid-dynamic,84662000,4,16,4925254,0.000072,0.000039,1.268014,0.095794,0.044483,0.222326,0.433076,2.084227,1.001145,64,1,A
hybrid-dynamic,84662000,4,16,4925254,0.000076,0.000022,1.462064,0.109213,0.094413,0.223488,0.450142,2.361344,1.001652,64,2,A
hybrid-dynamic,84662000,4,16,4925254,0.000086,0.000036,1.304834,0.108417,0.098828,0.223829,0.437440,2.190556,1.003683,64,3,A
hybrid-dynamic,89494000,4,16,5189503,0.000079,0.000018,1.791067,0.102170,0.070667,0.234573,0.430479,2.647962,1.001427,64,1,A
hybrid-dynamic,89494000,4,16,5189503,0.000078,0.000034,2.028353,0.090689,0.060532,0.236863,0.436010,2.875157,1.000650,64,2,A
hybrid-dynamic,89494000,4,16,5189503,0.000083,0.000040,2.098177,0.116513,0.077915,0.239950,0.468509,3.022818,1.001040,64,3,A
hybrid-dynamic,94601000,4,16,5467880,0.000079,0.000034,1.395780,0.106811,0.057082,0.250734,0.480570,2.310774,1.002458,64,1,A
hybrid-dynamic,94601000,4,16,5467880,0.000078,0.000033,1.708654,0.109994,0.077442,0.245001,0.440793,2.599499,1.003674,64,2,A
hybrid-dynamic,94601000,4,16,5467880,0.000079,0.000025,1.396892,0.105797,0.055599,0.247751,0.424600,2.251054,1.001174,64,3,A
hybrid-dynamic,100000000,4,16,5761455,0.000099,0.000027,1.516306,0.121223,0.050016,0.263150,0.529989,2.499454,1.004208,64,1,A
hybrid-dynamic,100000000,4,16,5761455,0.000082,0.000042,1.359659,0.104651,0.065690,0.257717,0.494019,2.301327,1.001724,64,2,A
hybrid-dynamic,100000000,4,16,5761455,0.000082,0.000031,1.890341,0.113805,0.066373,0.260710,0.544571,2.897651,1.000521,64,3,A
