impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_lsort,t_comm,t_sort,t_io,t_total,imbalance,workers,rep,sweep
hybrid-dynamic,45979000,4,16,2773856,0.000074,0.000034,0.631357,0.064621,0.036441,0.120150,0.296805,1.168937,1.006397,64,1,A
hybrid-dynamic,45979000,4,16,2773856,0.000078,0.000035,0.780685,0.053804,0.028599,0.120674,0.332731,1.338959,1.001324,64,2,A
hybrid-dynamic,45979000,4,16,2773856,0.000091,0.000029,0.529687,0.058134,0.036837,0.119352,0.258553,1.024775,1.002243,64,3,A
hybrid-dynamic,48603000,4,16,2922171,0.000079,0.000036,0.474333,0.051261,0.030343,0.126606,0.304908,1.007514,1.003579,64,1,A
hybrid-dynamic,48603000,4,16,2922171,0.000085,0.000034,0.581046,0.047189,0.033611,0.174831,0.271501,1.129916,1.000253,64,2,A
hybrid-dynamic,48603000,4,16,2922171,0.000082,0.000061,0.526896,0.054137,0.029054,0.129779,0.250221,1.011728,1.006496,64,3,A
hybrid-dynamic,51377000,4,16,3078697,0.000078,0.000040,0.727514,0.067850,0.038289,0.131285,0.283696,1.269956,1.001418,64,1,A
hybrid-dynamic,51377000,4,16,3078697,0.000096,0.000041,0.577784,0.059477,0.031091,0.136463,0.324151,1.150682,1.002120,64,2,A
hybrid-dynamic,51377000,4,16,3078697,0.000095,0.000037,0.581669,0.059211,0.036915,0.188308,0.372646,1.259954,1.002194,64,3,A
hybrid-dynamic,54309000,4,16,3243460,0.000082,0.000022,0.623834,0.060819,0.031030,0.142425,0.304549,1.184135,1.001745,64,1,A
hybrid-dynamic,54309000,4,16,3243460,0.000091,0.000046,0.625588,0.061676,0.044701,0.194530,0.443856,1.400443,1.002463,64,2,A
hybrid-dynamic,54309000,4,16,3243460,0.000104,0.000129,0.659955,0.066598,0.038372,0.142197,0.291639,1.232943,1.010765,64,3,A
hybrid-dynamic,57408000,4,16,3417382,0.000102,0.000049,0.663039,0.065880,0.029787,0.149694,0.450870,1.380232,1.003369,64,1,A
hybrid-dynamic,57408000,4,16,3417382,0.000077,0.000050,0.862834,0.081398,0.033518,0.149302,0.315195,1.463148,1.004669,64,2,A
hybrid-dynamic,57408000,4,16,3417382,0.000076,0.000022,0.586440,0.058932,0.037860,0.150205,0.324486,1.180104,1.001173,64,3,A
hybrid-dynamic,60684000,4,16,3600335,0.000085,0.000043,1.014858,0.064767,0.042385,0.206274,0.485718,1.832697,1.003954,64,1,A
hybrid-dynamic,60684000,4,16,3600335,0.000116,0.000021,0.781391,0.066885,0.046727,0.159941,0.359531,1.435414,1.001050,64,2,A
hybrid-dynamic,60684000,4,16,3600335,0.000091,0.000044,0.833928,0.080969,0.041205,0.156323,0.364032,1.496743,1.003803,64,3,A
hybrid-dynamic,64147000,4,16,3793289,0.000084,0.000058,0.787487,0.068252,0.043155,0.171073,0.382349,1.473303,1.004136,64,1,A
hybrid-dynamic,64147000,4,16,3793289,0.000113,0.000046,0.671863,0.061155,0.043979,0.167245,0.328349,1.293036,1.002453,64,2,A
