impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
serial,45979000,1,1,2773856,0.000053,17.556475,0.000000,0.227234,17.783766,1,A
pthreads,45979000,1,16,2773856,0.000122,1.777940,0.003437,0.260449,2.041954,1,A
openmp-dynamic-4096,45979000,1,16,2773856,0.000036,2.168093,0.057173,0.244787,2.470095,1,A
serial,45979000,1,1,2773856,0.000054,17.584921,0.000000,0.281985,17.866965,2,A
pthreads,45979000,1,16,2773856,0.000119,2.100312,0.004224,0.302948,2.407608,2,A
openmp-dynamic-4096,45979000,1,16,2773856,0.000030,1.400599,0.052931,0.260571,1.714137,2,A
serial,45979000,1,1,2773856,0.000065,17.592568,0.000000,0.252621,17.845261,3,A
pthreads,45979000,1,16,2773856,0.000145,1.899680,0.003396,0.246537,2.149768,3,A
openmp-dynamic-4096,45979000,1,16,2773856,0.000029,1.426198,0.056531,0.256561,1.739323,3,A
serial,48603000,1,1,2922171,0.000054,19.015250,0.000000,0.250714,19.266022,1,A
pthreads,48603000,1,16,2922171,0.000147,1.672965,0.003743,0.273427,1.950288,1,A
openmp-dynamic-4096,48603000,1,16,2922171,0.000032,1.201477,0.055883,0.258494,1.515892,1,A
serial,48603000,1,1,2922171,0.000055,18.998529,0.000000,0.239945,19.238533,2,A
pthreads,48603000,1,16,2922171,0.000113,1.685929,0.004132,0.270340,1.960520,2,A
openmp-dynamic-4096,48603000,1,16,2922171,0.000034,1.200831,0.056280,0.260218,1.517368,2,A
serial,48603000,1,1,2922171,0.000055,19.035349,0.000000,0.251388,19.286796,3,A
pthreads,48603000,1,16,2922171,0.000132,1.681265,0.003409,0.253049,1.937859,3,A
openmp-dynamic-4096,48603000,1,16,2922171,0.000036,1.193691,0.056349,0.273123,1.523204,3,A
serial,51377000,1,1,3078697,0.000055,20.568021,0.000000,0.280847,20.848928,1,A
pthreads,51377000,1,16,3078697,0.000116,2.434501,0.004875,0.350394,2.789891,1,A
openmp-dynamic-4096,51377000,1,16,3078697,0.000033,1.717697,0.059962,0.303066,2.080761,1,A
serial,51377000,1,1,3078697,0.000067,20.576017,0.000000,0.268339,20.844430,2,A
pthreads,51377000,1,16,3078697,0.000115,1.819516,0.003718,0.285316,2.108669,2,A
openmp-dynamic-4096,51377000,1,16,3078697,0.000029,1.302797,0.059116,0.277034,1.638980,2,A
serial,51377000,1,1,3078697,0.000061,20.568235,0.000000,0.257092,20.825393,3,A
pthreads,51377000,1,16,3078697,0.000112,1.817086,0.003944,0.368058,2.189205,3,A
openmp-dynamic-4096,51377000,1,16,3078697,0.000030,1.296260,0.059571,0.330529,1.686394,3,A
serial,54309000,1,1,3243460,0.000055,22.289919,0.000000,0.345744,22.635722,1,A
pthreads,54309000,1,16,3243460,0.000111,3.194535,0.003829,0.358128,3.556607,1,A
openmp-dynamic-4096,54309000,1,16,3243460,0.000036,1.751500,0.069424,0.335802,2.156767,1,A
serial,54309000,1,1,3243460,0.000059,22.266176,0.000000,0.398331,22.664571,2,A
pthreads,54309000,1,16,3243460,0.000148,1.961694,0.003875,0.368982,2.334704,2,A
openmp-dynamic-4096,54309000,1,16,3243460,0.000034,1.405191,0.062775,0.350089,1.818094,2,A
serial,54309000,1,1,3243460,0.000054,22.391289,0.000000,0.353437,22.744784,3,A
pthreads,54309000,1,16,3243460,0.000141,2.453311,0.003958,0.341485,2.798898,3,A
openmp-dynamic-4096,54309000,1,16,3243460,0.000042,1.407266,0.062621,0.377357,1.847291,3,A
serial,57408000,1,1,3417382,0.000066,24.121980,0.000000,0.358401,24.480451,1,A
pthreads,57408000,1,16,3417382,0.000112,2.467822,0.004436,0.310520,2.782894,1,A
openmp-dynamic-4096,57408000,1,16,3417382,0.000035,1.646428,0.081801,0.310215,2.038485,1,A
serial,57408000,1,1,3417382,0.000054,24.102442,0.000000,0.308434,24.410934,2,A
pthreads,57408000,1,16,3417382,0.000123,2.134247,0.004221,0.472304,2.610900,2,A
openmp-dynamic-4096,57408000,1,16,3417382,0.000030,1.519035,0.065904,0.420455,2.005427,2,A
serial,57408000,1,1,3417382,0.000055,24.108209,0.000000,0.362474,24.470742,3,A
pthreads,57408000,1,16,3417382,0.000117,2.122911,0.004644,0.343191,2.470868,3,A
openmp-dynamic-4096,57408000,1,16,3417382,0.000032,1.519605,0.065316,0.310381,1.895340,3,A
serial,60684000,1,1,3600335,0.000055,26.102796,0.000000,0.306589,26.409445,1,A
pthreads,60684000,1,16,3600335,0.000149,2.333459,0.005485,0.392188,2.731286,1,A
openmp-dynamic-4096,60684000,1,16,3600335,0.000041,2.656310,0.072181,0.306659,3.035196,1,A
