impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
serial,30000000,1,1,1857859,0.000054,9.577111,0.000000,0.157910,9.735078,1,B
serial,30000000,1,1,1857859,0.000070,9.563694,0.000000,0.160438,9.724208,2,B
serial,30000000,1,1,1857859,0.000051,9.558402,0.000000,0.174332,9.732789,3,B
pthreads,30000000,1,1,1857859,0.000052,9.560741,0.004052,0.167814,9.732664,1,B
openmp-dynamic-4096,30000000,1,1,1857859,0.000032,9.571068,0.035985,0.151979,9.759069,1,B
pthreads,30000000,1,1,1857859,0.000053,9.561700,0.003930,0.178622,9.744310,2,B
openmp-dynamic-4096,30000000,1,1,1857859,0.000041,9.596595,0.035754,0.170296,9.802691,2,B
pthreads,30000000,1,1,1857859,0.000056,9.593270,0.003123,0.200860,9.797314,3,B
openmp-dynamic-4096,30000000,1,1,1857859,0.000032,9.584872,0.035382,0.171868,9.792159,3,B
pthreads,30000000,1,2,1857859,0.000059,6.044787,0.003973,0.172969,6.221793,1,B
openmp-dynamic-4096,30000000,1,2,1857859,0.000028,4.796409,0.035467,0.189173,5.021082,1,B
pthreads,30000000,1,2,1857859,0.000116,6.044829,0.003691,0.174904,6.223545,2,B
openmp-dynamic-4096,30000000,1,2,1857859,0.000025,4.798469,0.035307,0.172148,5.005954,2,B
pthreads,30000000,1,2,1857859,0.000065,6.172734,0.003331,0.183029,6.359165,3,B
openmp-dynamic-4096,30000000,1,2,1857859,0.000029,4.797193,0.035788,0.183279,5.016293,3,B
pthreads,30000000,1,4,1857859,0.000084,3.228971,0.004034,0.179448,3.412541,1,B
openmp-dynamic-4096,30000000,1,4,1857859,0.000037,2.407716,0.036245,0.166180,2.610183,1,B
pthreads,30000000,1,4,1857859,0.000077,3.256733,0.003560,0.170145,3.430521,2,B
openmp-dynamic-4096,30000000,1,4,1857859,0.000050,2.404857,0.036624,0.193642,2.635193,2,B
pthreads,30000000,1,4,1857859,0.000079,3.248548,0.003257,0.186608,3.438498,3,B
openmp-dynamic-4096,30000000,1,4,1857859,0.000035,2.402366,0.037328,0.171608,2.611342,3,B
pthreads,30000000,1,6,1857859,0.000074,2.189574,0.003001,0.157826,2.350479,1,B
openmp-dynamic-4096,30000000,1,6,1857859,0.000053,1.603931,0.036747,0.163535,1.804273,1,B
pthreads,30000000,1,6,1857859,0.000086,2.203811,0.003998,0.166609,2.374508,2,B
