impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_comm,t_sort,t_io,t_total,imbalance,rep,sweep
mpi-dynamic,43497000,8,1,2632821,0.000008,0.000013,0.918085,0.005924,0.048351,0.096321,1.069812,1.001571,1,A
mpi-dynamic,43497000,8,1,2632821,0.000008,0.000023,1.167603,0.010683,0.060758,0.113991,1.353113,1.001474,2,A
mpi-dynamic,43497000,8,1,2632821,0.000007,0.000016,1.249171,0.008702,0.059185,0.106288,1.428614,1.003071,3,A
mpi-dynamic,45979000,8,1,2773856,0.000006,0.000015,1.141627,0.007657,0.052836,0.105875,1.309856,1.002294,1,A
mpi-dynamic,45979000,8,1,2773856,0.000011,0.000029,1.585446,0.009321,0.079613,0.153079,1.831031,1.003011,2,A
mpi-dynamic,45979000,8,1,2773856,0.000017,0.000024,1.451930,0.005748,0.064904,0.128000,1.651675,1.001555,3,A
mpi-dynamic,48603000,8,1,2922171,0.000007,0.000015,1.121106,0.005288,0.058282,0.118166,1.305322,1.001869,1,A
mpi-dynamic,48603000,8,1,2922171,0.000011,0.000027,1.595845,0.005899,0.075038,0.144211,1.821076,1.001930,2,A
mpi-dynamic,48603000,8,1,2922171,0.000008,0.000018,1.671230,0.005732,0.070627,0.133830,1.882477,1.000877,3,A
mpi-dynamic,51377000,8,1,3078697,0.000007,0.000013,1.316810,0.010778,0.074190,0.140095,1.543723,1.001764,1,A
mpi-dynamic,51377000,8,1,3078697,0.000011,0.000021,1.689961,0.004706,0.068564,0.130420,1.896747,1.001597,2,A
mpi-dynamic,51377000,8,1,3078697,0.000009,0.000024,1.610031,0.008542,0.068722,0.130866,1.818235,1.001496,3,A
mpi-dynamic,54309000,8,1,3243460,0.000024,0.000896,1.308412,0.003878,0.062937,0.127352,1.503534,1.001888,1,A
mpi-dynamic,54309000,8,1,3243460,0.000011,0.000019,1.827506,0.005573,0.082083,0.143709,2.063482,1.001092,2,A
mpi-dynamic,54309000,8,1,3243460,0.000011,0.000030,1.761817,0.007438,0.074768,0.134830,1.984595,1.003436,3,A
mpi-dynamic,57408000,8,1,3417382,0.000007,0.000012,1.412178,0.006270,0.068202,0.133141,1.620151,1.002461,1,A
mpi-dynamic,57408000,8,1,3417382,0.000007,0.000018,1.983966,0.009765,0.090958,0.176582,2.261337,1.001468,2,A
mpi-dynamic,57408000,8,1,3417382,0.000009,0.000017,1.823081,0.007745,0.075610,0.144062,2.050983,1.001508,3,A
mpi-dynamic,60684000,8,1,3600335,0.000009,0.000024,1.521904,0.007476,0.072930,0.149615,1.752004,1.001444,1,A
mpi-dynamic,60684000,8,1,3600335,0.000007,0.000019,2.250440,0.005313,0.091285,0.165945,2.514738,1.000744,2,A
mpi-dynamic,60684000,8,1,3600335,0.000008,0.000017,2.008219,0.007651,0.085500,0.157510,2.259786,1.001376,3,A
mpi-dynamic,64147000,8,1,3793289,0.000010,0.000025,1.719516,0.005235,0.088910,0.169332,1.984100,1.001798,1,A
mpi-dynamic,64147000,8,1,3793289,0.000011,0.000025,2.466777,0.005558,0.086382,0.165766,2.724563,1.001363,2,A
mpi-dynamic,64147000,8,1,3793289,0.000008,0.000019,2.098054,0.008104,0.084217,0.157550,2.348416,1.001418,3,A
mpi-dynamic,67808000,8,1,3996668,0.000006,0.000012,2.056371,0.008022,0.105962,0.186993,2.359502,1.001487,1,A
mpi-dynamic,67808000,8,1,3996668,0.000007,0.000019,2.537329,0.010982,0.101406,0.179817,2.831709,1.001385,2,A
mpi-dynamic,67808000,8,1,3996668,0.000008,0.000020,2.522179,0.012848,0.091238,0.171117,2.800427,1.001501,3,A
mpi-dynamic,71677000,8,1,4210896,0.000010,0.000018,1.904203,0.006373,0.085963,0.187749,2.184354,1.000788,1,A
mpi-dynamic,71677000,8,1,4210896,0.000009,0.000017,2.707169,0.005957,0.093514,0.172651,2.982220,1.001072,2,A
mpi-dynamic,71677000,8,1,4210896,0.000010,0.000030,2.517864,0.012746,0.101939,0.209220,2.843888,1.000327,3,A
mpi-dynamic,75768000,8,1,4436716,0.000011,0.000020,2.484879,0.011709,0.125120,0.230538,2.855860,1.002061,1,A
mpi-dynamic,75768000,8,1,4436716,0.000009,0.000028,2.831135,0.004273,0.096093,0.181720,3.113313,1.001075,2,A
mpi-dynamic,75768000,8,1,4436716,0.000017,0.000036,3.342057,0.011217,0.113972,0.202747,3.673183,1.001013,3,A
mpi-dynamic,80092000,8,1,4674432,0.000008,0.000024,2.766155,0.012207,0.104241,0.196394,3.080010,1.000580,1,A
mpi-dynamic,80092000,8,1,4674432,0.000009,0.000020,2.903871,0.013485,0.100502,0.191905,3.209828,1.000912,2,A
mpi-dynamic,80092000,8,1,4674432,0.000007,0.000018,3.568043,0.007210,0.126523,0.249617,3.954649,1.000965,3,A
mpi-dynamic,84662000,8,1,4925254,0.000013,0.000023,3.103163,0.013596,0.145564,0.267301,3.530166,1.002322,1,A
mpi-dynamic,84662000,8,1,4925254,0.000010,0.000024,3.748893,0.007696,0.115321,0.210461,4.083513,1.001072,2,A
mpi-dynamic,84662000,8,1,4925254,0.000008,0.000030,3.537117,0.009671,0.121744,0.218597,3.888050,1.000728,3,A
mpi-dynamic,89494000,8,1,5189503,0.000008,0.000027,4.419464,0.007752,0.128542,0.229438,4.789114,1.001053,1,A
mpi-dynamic,89494000,8,1,5189503,0.000007,0.000020,3.755364,0.009810,0.117645,0.214569,4.097968,1.000530,2,A
mpi-dynamic,89494000,8,1,5189503,0.000009,0.000027,4.445922,0.008255,0.124259,0.223565,4.802075,1.000563,3,A
mpi-dynamic,94601000,8,1,5467880,0.000008,0.000029,4.268717,0.009166,0.122487,0.213285,4.614626,1.001810,1,A
mpi-dynamic,94601000,8,1,5467880,0.000010,0.000020,4.398384,0.007366,0.114756,0.209276,4.731725,1.000934,2,A
