impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_lsort,t_comm,t_sort,t_io,t_total,imbalance,workers,rep,sweep
hybrid-dynamic,20000000,4,2,1270607,0.000010,0.000001,0.396338,0.007627,0.001612,0.018435,0.038031,0.462181,1.000655,8,1,A
hybrid-dynamic,20000000,4,2,1270607,0.000009,0.000000,0.391670,0.008992,0.002034,0.018468,0.040394,0.465605,1.000751,8,2,A
hybrid-dynamic,20000000,4,2,1270607,0.000009,0.000001,0.409832,0.007459,0.001335,0.017816,0.039651,0.475882,1.002145,8,3,A
hybrid-dynamic,21141000,4,2,1338321,0.000011,0.000000,0.416759,0.008452,0.001415,0.019544,0.040957,0.488639,1.001448,8,1,A
hybrid-dynamic,21141000,4,2,1338321,0.000008,0.000000,0.419290,0.009099,0.000914,0.020233,0.043224,0.493474,1.000976,8,2,A
hybrid-dynamic,21141000,4,2,1338321,0.000008,0.000000,0.414293,0.009940,0.001783,0.019645,0.042892,0.488593,1.001692,8,3,A
hybrid-dynamic,22347000,4,2,1409642,0.000020,0.000001,0.477593,0.009800,0.001776,0.020033,0.044804,0.554282,1.001253,8,1,A
hybrid-dynamic,22347000,4,2,1409642,0.000008,0.000001,0.442651,0.010119,0.001854,0.021371,0.045872,0.521998,1.000846,8,2,A
hybrid-dynamic,22347000,4,2,1409642,0.000009,0.000000,0.454023,0.010026,0.001545,0.020182,0.044816,0.532951,1.001507,8,3,A
hybrid-dynamic,23623000,4,2,1484957,0.000010,0.000000,0.491072,0.012100,0.001473,0.021541,0.048044,0.574946,1.000895,8,1,A
hybrid-dynamic,23623000,4,2,1484957,0.000009,0.000001,0.533074,0.009265,0.001518,0.021576,0.048049,0.615150,1.000385,8,2,A
hybrid-dynamic,23623000,4,2,1484957,0.000009,0.000000,0.506053,0.009570,0.001415,0.020888,0.048925,0.586892,1.000313,8,3,A
hybrid-dynamic,24971000,4,2,1564236,0.000013,0.000000,0.545396,0.010350,0.002361,0.023036,0.050220,0.632419,1.003640,8,1,A
hybrid-dynamic,24971000,4,2,1564236,0.000010,0.000000,0.514225,0.010971,0.001197,0.022454,0.050583,0.604451,1.000454,8,2,A
hybrid-dynamic,24971000,4,2,1564236,0.000008,0.000000,0.510099,0.010854,0.001875,0.023316,0.052840,0.599861,1.000682,8,3,A
hybrid-dynamic,26396000,4,2,1647664,0.000066,0.000001,0.573643,0.011054,0.001319,0.023916,0.053155,0.662896,1.000533,8,1,A
hybrid-dynamic,26396000,4,2,1647664,0.000009,0.000000,0.557615,0.010801,0.001903,0.023620,0.053379,0.648821,1.001003,8,2,A
hybrid-dynamic,26396000,4,2,1647664,0.000010,0.000001,0.575119,0.008891,0.001315,0.023754,0.052708,0.661830,1.000538,8,3,A
hybrid-dynamic,27902000,4,2,1735706,0.000009,0.000001,0.600209,0.011680,0.001381,0.025092,0.055169,0.693083,1.001362,8,1,A
hybrid-dynamic,27902000,4,2,1735706,0.000009,0.000000,0.634294,0.010692,0.001235,0.024412,0.057587,0.732958,1.000596,8,2,A
hybrid-dynamic,27902000,4,2,1735706,0.000011,0.000000,0.621213,0.011995,0.001204,0.024770,0.059782,0.719678,1.000732,8,3,A
