impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
pthreads,30000000,1,10,1857859,0.000024,0.566041,0.001277,0.060575,0.627918,3,B
openmp-dynamic-4096,30000000,1,10,1857859,0.000007,0.470189,0.023005,0.061240,0.554444,3,B
pthreads,30000000,1,12,1857859,0.000033,0.574532,0.001584,0.061118,0.637268,1,B
openmp-dynamic-4096,30000000,1,12,1857859,0.000007,0.461259,0.023066,0.060244,0.544578,1,B
pthreads,30000000,1,12,1857859,0.000031,0.514619,0.001609,0.060568,0.576828,2,B
openmp-dynamic-4096,30000000,1,12,1857859,0.000006,0.465427,0.026545,0.061138,0.553118,2,B
pthreads,30000000,1,12,1857859,0.000029,0.526450,0.001469,0.061055,0.589004,3,B
openmp-dynamic-4096,30000000,1,12,1857859,0.000007,0.468482,0.023351,0.061258,0.553100,3,B
pthreads,30000000,1,14,1857859,0.000030,0.507161,0.001644,0.063685,0.572521,1,B
openmp-dynamic-4096,30000000,1,14,1857859,0.000007,0.472546,0.020891,0.061674,0.555120,1,B
pthreads,30000000,1,14,1857859,0.000031,0.513074,0.001788,0.063989,0.578883,2,B
openmp-dynamic-4096,30000000,1,14,1857859,0.000007,0.497728,0.023541,0.060876,0.582154,2,B
pthreads,30000000,1,14,1857859,0.000032,0.515144,0.001733,0.060839,0.577749,3,B
openmp-dynamic-4096,30000000,1,14,1857859,0.000010,0.477163,0.026353,0.061585,0.565113,3,B
pthreads,30000000,1,16,1857859,0.000037,0.496559,0.001629,0.060986,0.559212,1,B
openmp-dynamic-4096,30000000,1,16,1857859,0.000007,0.476523,0.025945,0.062007,0.564484,1,B
pthreads,30000000,1,16,1857859,0.000041,0.499108,0.001549,0.061440,0.562138,2,B
openmp-dynamic-4096,30000000,1,16,1857859,0.000007,0.475646,0.021241,0.073854,0.570750,2,B
pthreads,30000000,1,16,1857859,0.000078,0.546060,0.001758,0.061586,0.609483,3,B
openmp-dynamic-4096,30000000,1,16,1857859,0.000010,0.475452,0.023586,0.062772,0.561823,3,B
