impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_lsort,t_comm,t_sort,t_io,t_total,imbalance,workers,rep,sweep
hybrid-blockcyclic,41149000,4,2,2499290,0.000009,0.000000,0.868960,0.014839,0.002318,0.048008,0.099010,1.031614,1.021411,8,3,A
hybrid-blockcyclic,43497000,4,2,2632821,0.000009,0.000000,0.799221,0.011997,0.002359,0.043991,0.091200,0.949199,1.075934,8,1,A
hybrid-blockcyclic,43497000,4,2,2632821,0.000010,0.000000,0.807217,0.013392,0.002358,0.041327,0.087958,0.949751,1.050187,8,2,A
hybrid-blockcyclic,43497000,4,2,2632821,0.000009,0.000000,0.950554,0.013554,0.002164,0.057046,0.107507,1.130674,1.050740,8,3,A
hybrid-blockcyclic,45979000,4,2,2773856,0.000009,0.000000,0.915792,0.014652,0.002283,0.043446,0.095083,1.070622,1.031766,8,1,A
hybrid-blockcyclic,45979000,4,2,2773856,0.000015,0.000000,1.004185,0.014314,0.002767,0.052497,0.107504,1.180389,1.063104,8,2,A
hybrid-blockcyclic,45979000,4,2,2773856,0.000010,0.000001,1.152602,0.021022,0.003813,0.053766,0.109214,1.333357,1.033937,8,3,A
hybrid-blockcyclic,48603000,4,2,2922171,0.000011,0.000000,0.901736,0.012421,0.002328,0.047123,0.098945,1.068680,1.016498,8,1,A
hybrid-blockcyclic,48603000,4,2,2922171,0.000009,0.000001,0.969686,0.015544,0.001727,0.049206,0.102480,1.136219,1.032420,8,2,A
hybrid-blockcyclic,48603000,4,2,2922171,0.000010,0.000000,1.173177,0.016800,0.002831,0.062798,0.118675,1.374330,1.042245,8,3,A
hybrid-blockcyclic,51377000,4,2,3078697,0.000009,0.000001,0.992377,0.013681,0.001939,0.044851,0.099415,1.149925,1.047152,8,1,A
hybrid-blockcyclic,51377000,4,2,3078697,0.000011,0.000000,1.097561,0.020301,0.003650,0.055377,0.115417,1.285413,1.053303,8,2,A
hybrid-blockcyclic,51377000,4,2,3078697,0.000010,0.000000,1.392971,0.017021,0.002698,0.073462,0.135624,1.621507,1.006978,8,3,A
hybrid-blockcyclic,54309000,4,2,3243460,0.000010,0.000000,1.123504,0.017915,0.001996,0.051668,0.113607,1.303483,1.010851,8,1,A
hybrid-blockcyclic,54309000,4,2,3243460,0.000013,0.000000,1.372936,0.021024,0.003175,0.065257,0.131725,1.596241,1.078059,8,2,A
hybrid-blockcyclic,54309000,4,2,3243460,0.000010,0.000001,1.403557,0.021043,0.002135,0.062880,0.126049,1.610505,1.037749,8,3,A
hybrid-blockcyclic,57408000,4,2,3417382,0.000009,0.000000,1.170289,0.015087,0.001842,0.052349,0.114210,1.353906,1.037703,8,1,A
hybrid-blockcyclic,57408000,4,2,3417382,0.000010,0.000001,1.253791,0.017542,0.001976,0.062980,0.151653,1.485774,1.033047,8,2,A
hybrid-blockcyclic,57408000,4,2,3417382,0.000010,0.000001,1.551400,0.021093,0.002111,0.066822,0.132596,1.770440,1.033544,8,3,A
hybrid-blockcyclic,60684000,4,2,3600335,0.000009,0.000000,1.256105,0.022837,0.002422,0.056399,0.117187,1.450508,1.033944,8,1,A
hybrid-blockcyclic,60684000,4,2,3600335,0.000010,0.000000,1.406490,0.019654,0.002454,0.076597,0.150622,1.653869,1.016982,8,2,A
hybrid-blockcyclic,60684000,4,2,3600335,0.000011,0.000001,1.632115,0.020594,0.002402,0.067895,0.140445,1.860900,1.037003,8,3,A
hybrid-blockcyclic,64147000,4,2,3793289,0.000010,0.000000,1.382492,0.016906,0.003588,0.058780,0.125283,1.586440,1.062181,8,1,A
hybrid-blockcyclic,64147000,4,2,3793289,0.000010,0.000001,1.583977,0.022738,0.005227,0.092126,0.171784,1.875013,1.007484,8,2,A
hybrid-blockcyclic,64147000,4,2,3793289,0.000012,0.000001,2.019467,0.021324,0.003388,0.077211,0.147532,2.264959,1.036188,8,3,A
hybrid-blockcyclic,67808000,4,2,3996668,0.000010,0.000000,1.560897,0.018671,0.004007,0.063389,0.138760,1.784685,1.062314,8,1,A
hybrid-blockcyclic,67808000,4,2,3996668,0.000010,0.000000,2.201138,0.022576,0.004792,0.089735,0.167638,2.487529,1.030114,8,2,A
hybrid-blockcyclic,67808000,4,2,3996668,0.000019,0.000001,1.978676,0.028873,0.002961,0.081016,0.159421,2.253133,1.046676,8,3,A
hybrid-blockcyclic,71677000,4,2,4210896,0.000010,0.000001,1.656238,0.022189,0.003117,0.076518,0.163273,1.917652,1.038061,8,1,A
hybrid-blockcyclic,71677000,4,2,4210896,0.000010,0.000001,2.788558,0.024167,0.002908,0.093071,0.183743,3.094080,1.012916,8,2,A
hybrid-blockcyclic,71677000,4,2,4210896,0.000011,0.000001,2.372939,0.023641,0.004453,0.093467,0.187326,2.682549,1.038585,8,3,A
hybrid-blockcyclic,75768000,4,2,4436716,0.000012,0.000000,2.228236,0.024589,0.003037,0.090878,0.178917,2.525038,1.047251,8,1,A
hybrid-blockcyclic,75768000,4,2,4436716,0.000010,0.000001,2.150117,0.023214,0.002780,0.084467,0.169502,2.427848,1.022498,8,2,A
hybrid-blockcyclic,75768000,4,2,4436716,0.000009,0.000001,2.175280,0.023597,0.002776,0.086966,0.175107,2.462071,1.030473,8,3,A
hybrid-blockcyclic,80092000,4,2,4674432,0.000009,0.000000,1.930713,0.023054,0.002558,0.079523,0.164233,2.197321,1.025351,8,1,A
hybrid-blockcyclic,80092000,4,2,4674432,0.000010,0.000001,2.819901,0.027374,0.003665,0.097252,0.193016,3.141286,1.026306,8,2,A
hybrid-blockcyclic,80092000,4,2,4674432,0.000009,0.000000,2.553828,0.027264,0.003434,0.090820,0.179574,2.853557,1.038934,8,3,A
hybrid-blockcyclic,84662000,4,2,4925254,0.000010,0.000001,2.590960,0.030787,0.003473,0.115759,0.217371,2.957057,1.029270,8,1,A
hybrid-blockcyclic,84662000,4,2,4925254,0.000012,0.000001,2.999330,0.026309,0.002958,0.097149,0.192761,3.316999,1.026781,8,2,A
hybrid-blockcyclic,84662000,4,2,4925254,0.000011,0.000000,2.760933,0.025646,0.003058,0.097386,0.188602,3.075697,1.022508,8,3,A
hybrid-blockcyclic,89494000,4,2,5189503,0.000009,0.000000,2.188644,0.023886,0.002626,0.085280,0.176960,2.474569,1.030966,8,1,A
hybrid-blockcyclic,89494000,4,2,5189503,0.000008,0.000000,3.237521,0.030884,0.003921,0.113174,0.206052,3.592848,1.015819,8,2,A
hybrid-blockcyclic,89494000,4,2,5189503,0.000019,0.000000,2.970914,0.029099,0.003337,0.103371,0.194658,3.302482,1.024682,8,3,A
hybrid-blockcyclic,94601000,4,2,5467880,0.000009,0.000000,2.534856,0.032920,0.003578,0.122079,0.232054,2.925216,1.023422,8,1,A
hybrid-blockcyclic,94601000,4,2,5467880,0.000012,0.000001,3.467190,0.029308,0.003074,0.108383,0.209046,3.815251,1.014984,8,2,A
hybrid-blockcyclic,94601000,4,2,5467880,0.000010,0.000000,3.251920,0.035157,0.003582,0.112320,0.207211,3.607212,1.010553,8,3,A
hybrid-blockcyclic,100000000,4,2,5761455,0.000010,0.000001,3.046116,0.035113,0.003972,0.147495,0.285522,3.517217,1.056012,8,1,A
hybrid-blockcyclic,100000000,4,2,5761455,0.000013,0.000001,3.505011,0.029035,0.002880,0.107715,0.206825,3.849624,1.013004,8,2,A
hybrid-blockcyclic,100000000,4,2,5761455,0.000011,0.000000,3.491189,0.035665,0.003345,0.123148,0.229381,3.879109,1.019994,8,3,A
