impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_comm,t_sort,t_io,t_total,imbalance,rep,sweep
mpi-blockcyclic,20000000,8,1,1270607,0.000008,0.000016,0.366826,0.004398,0.019517,0.039910,0.433923,1.363847,1,A
mpi-blockcyclic,20000000,8,1,1270607,0.000029,0.000029,0.335826,0.004079,0.019474,0.041389,0.404013,1.438589,2,A
mpi-blockcyclic,20000000,8,1,1270607,0.000007,0.000013,0.270107,0.002368,0.019778,0.040573,0.333447,1.183208,3,A
mpi-blockcyclic,21141000,8,1,1338321,0.000015,0.000013,0.294580,0.006274,0.021721,0.042661,0.370760,1.137847,1,A
mpi-blockcyclic,21141000,8,1,1338321,0.000013,0.000025,0.312248,0.002158,0.022529,0.043783,0.381483,1.309685,2,A
mpi-blockcyclic,21141000,8,1,1338321,0.000009,0.000026,0.305073,0.003271,0.021099,0.040708,0.379075,1.188444,3,A
mpi-blockcyclic,22347000,8,1,1409642,0.000010,0.000023,0.341935,0.003494,0.023085,0.043320,0.414677,1.318629,1,A
mpi-blockcyclic,22347000,8,1,1409642,0.000010,0.000024,0.326074,0.005346,0.022636,0.045558,0.399723,1.218205,2,A
mpi-blockcyclic,22347000,8,1,1409642,0.000010,0.000019,0.307332,0.003377,0.022512,0.043413,0.376713,1.077978,3,A
mpi-blockcyclic,23623000,8,1,1484957,0.000008,0.000022,0.375946,0.003474,0.023652,0.046998,0.450175,1.301680,1,A
mpi-blockcyclic,23623000,8,1,1484957,0.000010,0.000020,0.357314,0.003637,0.024891,0.048842,0.435813,1.205846,2,A
mpi-blockcyclic,23623000,8,1,1484957,0.000011,0.000022,0.377529,0.002666,0.022985,0.045436,0.449818,1.236332,3,A
mpi-blockcyclic,24971000,8,1,1564236,0.000006,0.000015,0.399944,0.003831,0.023962,0.049406,0.481242,1.336661,1,A
mpi-blockcyclic,24971000,8,1,1564236,0.000007,0.000033,0.362511,0.005774,0.022870,0.048064,0.439335,1.154003,2,A
mpi-blockcyclic,24971000,8,1,1564236,0.000009,0.000022,0.412792,0.002489,0.024055,0.050120,0.489546,1.130419,3,A
mpi-blockcyclic,26396000,8,1,1647664,0.000013,0.000030,0.406489,0.005261,0.026276,0.053026,0.491179,1.152997,1,A
mpi-blockcyclic,26396000,8,1,1647664,0.000009,0.000026,0.400482,0.002409,0.025333,0.054833,0.483154,1.164267,2,A
mpi-blockcyclic,26396000,8,1,1647664,0.000006,0.000013,0.426656,0.004791,0.025588,0.052105,0.513189,1.277528,3,A
mpi-blockcyclic,27902000,8,1,1735706,0.000010,0.000020,0.425787,0.004381,0.026422,0.053152,0.509818,1.086181,1,A
mpi-blockcyclic,27902000,8,1,1735706,0.000006,0.000012,0.434513,0.003856,0.028023,0.055970,0.525751,1.136948,2,A
mpi-blockcyclic,27902000,8,1,1735706,0.000006,0.000012,0.417532,0.007325,0.027537,0.055787,0.509243,1.074796,3,A
mpi-blockcyclic,29494000,8,1,1828356,0.000008,0.000020,0.477750,0.003048,0.027088,0.056059,0.567050,1.134548,1,A
mpi-blockcyclic,29494000,8,1,1828356,0.000012,0.000014,0.530085,0.002235,0.029425,0.060749,0.624106,1.210146,2,A
mpi-blockcyclic,29494000,8,1,1828356,0.000007,0.000016,0.534344,0.003002,0.029442,0.059529,0.627476,1.417905,3,A
mpi-blockcyclic,31178000,8,1,1926228,0.000017,0.000036,0.592126,0.003610,0.029916,0.065428,0.725492,1.195302,1,A
mpi-blockcyclic,31178000,8,1,1926228,0.000007,0.000013,0.524888,0.003395,0.031708,0.063853,0.625989,1.134166,2,A
mpi-blockcyclic,31178000,8,1,1926228,0.000011,0.000013,0.594025,0.003654,0.033225,0.066226,0.697977,1.164597,3,A
mpi-blockcyclic,32957000,8,1,2029180,0.000008,0.000015,0.589524,0.005326,0.031416,0.065861,0.697019,1.256201,1,A
mpi-blockcyclic,32957000,8,1,2029180,0.000010,0.000021,0.556510,0.002718,0.031297,0.066360,0.658943,1.142676,2,A
mpi-blockcyclic,32957000,8,1,2029180,0.000007,0.000019,0.539741,0.006677,0.031483,0.065824,0.643800,1.104888,3,A
mpi-blockcyclic,34838000,8,1,2137395,0.000011,0.000020,0.598475,0.003501,0.032902,0.069090,0.704307,1.112482,1,A
mpi-blockcyclic,34838000,8,1,2137395,0.000013,0.000018,0.606734,0.004522,0.033117,0.081818,0.729109,1.220318,2,A
mpi-blockcyclic,34838000,8,1,2137395,0.000011,0.000020,0.600545,0.003069,0.032201,0.070762,0.706682,1.150965,3,A
mpi-blockcyclic,36826000,8,1,2251737,0.000007,0.000013,0.655034,0.003326,0.036130,0.073591,0.768800,1.239591,1,A
mpi-blockcyclic,36826000,8,1,2251737,0.000007,0.000013,0.674286,0.003919,0.033249,0.072221,0.788773,1.199572,2,A
mpi-blockcyclic,36826000,8,1,2251737,0.000009,0.000028,0.649754,0.002881,0.036661,0.073458,0.762839,1.144138,3,A
mpi-blockcyclic,38927000,8,1,2372254,0.000012,0.000026,0.686481,0.007954,0.036023,0.076805,0.807355,1.125529,1,A
mpi-blockcyclic,38927000,8,1,2372254,0.000006,0.000015,0.681475,0.004704,0.036350,0.079468,0.805026,1.089502,2,A
mpi-blockcyclic,38927000,8,1,2372254,0.000011,0.000021,0.704603,0.003437,0.037914,0.079807,0.830025,1.128545,3,A
mpi-blockcyclic,41149000,8,1,2499290,0.000011,0.000020,0.742169,0.003305,0.039994,0.080793,0.866724,1.151415,1,A
mpi-blockcyclic,41149000,8,1,2499290,0.000006,0.000019,0.747971,0.003958,0.039207,0.082455,0.874670,1.089074,2,A
mpi-blockcyclic,41149000,8,1,2499290,0.000008,0.000021,0.886303,0.005354,0.038240,0.082616,1.016264,1.199677,3,A
mpi-blockcyclic,43497000,8,1,2632821,0.000009,0.000018,0.799744,0.005573,0.044071,0.085594,0.935097,1.083080,1,A
mpi-blockcyclic,43497000,8,1,2632821,0.000014,0.000023,0.803477,0.008526,0.044402,0.088810,0.945962,1.087951,2,A
mpi-blockcyclic,43497000,8,1,2632821,0.000007,0.000016,0.847196,0.006807,0.045016,0.093212,0.993521,1.262904,3,A
mpi-blockcyclic,45979000,8,1,2773856,0.000012,0.000023,0.856256,0.005400,0.042798,0.092289,0.996859,1.093670,1,A
mpi-blockcyclic,45979000,8,1,2773856,0.000014,0.000013,0.971444,0.003327,0.044670,0.093302,1.113057,1.203239,2,A
mpi-blockcyclic,45979000,8,1,2773856,0.000008,0.000027,0.950176,0.006694,0.045382,0.092906,1.095263,1.247493,3,A
mpi-blockcyclic,48603000,8,1,2922171,0.000010,0.000024,0.959612,0.004274,0.045101,0.094837,1.103912,1.155880,1,A
mpi-blockcyclic,48603000,8,1,2922171,0.000014,0.000028,1.029002,0.003004,0.047313,0.095528,1.174987,1.157523,2,A
mpi-blockcyclic,48603000,8,1,2922171,0.000006,0.000017,1.025396,0.002790,0.048204,0.100373,1.177903,1.152267,3,A
mpi-blockcyclic,51377000,8,1,3078697,0.000006,0.000038,1.029880,0.010619,0.047732,0.102807,1.198236,1.095150,1,A
mpi-blockcyclic,51377000,8,1,3078697,0.000009,0.000021,1.040026,0.009684,0.049236,0.100032,1.199084,1.125444,2,A
mpi-blockcyclic,51377000,8,1,3078697,0.000010,0.000027,1.032273,0.010395,0.050482,0.102070,1.195484,1.101097,3,A
mpi-blockcyclic,54309000,8,1,3243460,0.000006,0.000015,1.189235,0.011792,0.054379,0.110023,1.366759,1.120456,1,A
mpi-blockcyclic,54309000,8,1,3243460,0.000007,0.000015,1.115830,0.007231,0.052489,0.108551,1.284587,1.063145,2,A
mpi-blockcyclic,54309000,8,1,3243460,0.000008,0.000026,1.282654,0.008324,0.054239,0.110480,1.456716,1.082101,3,A
mpi-blockcyclic,57408000,8,1,3417382,0.000014,0.000025,1.187825,0.008803,0.056173,0.114679,1.368710,1.081448,1,A
mpi-blockcyclic,57408000,8,1,3417382,0.000010,0.000014,1.201247,0.004706,0.056113,0.119189,1.382401,1.086052,2,A
mpi-blockcyclic,57408000,8,1,3417382,0.000009,0.000020,1.264152,0.007423,0.052893,0.114814,1.439410,1.157111,3,A
mpi-blockcyclic,60684000,8,1,3600335,0.000010,0.000017,1.323249,0.007361,0.061285,0.126531,1.519825,1.120729,1,A
mpi-blockcyclic,60684000,8,1,3600335,0.000015,0.000026,1.313955,0.004456,0.058332,0.120847,1.497772,1.108442,2,A
mpi-blockcyclic,60684000,8,1,3600335,0.000009,0.000017,1.324992,0.004525,0.062353,0.128974,1.523226,1.110897,3,A
mpi-blockcyclic,64147000,8,1,3793289,0.000013,0.000024,1.372018,0.008988,0.061073,0.127706,1.569914,1.072661,1,A
mpi-blockcyclic,64147000,8,1,3793289,0.000008,0.000014,1.411102,0.009012,0.064603,0.135225,1.621483,1.098598,2,A
mpi-blockcyclic,64147000,8,1,3793289,0.000009,0.000027,1.453584,0.004768,0.060249,0.127422,1.646111,1.117128,3,A
mpi-blockcyclic,67808000,8,1,3996668,0.000012,0.000029,1.678534,0.004793,0.071385,0.199865,1.958601,1.146122,1,A
mpi-blockcyclic,67808000,8,1,3996668,0.000014,0.000019,1.526094,0.005537,0.072906,0.159374,1.764658,1.056563,2,A
mpi-blockcyclic,67808000,8,1,3996668,0.000006,0.000016,1.522476,0.004543,0.071407,0.140877,1.743621,1.059297,3,A
mpi-blockcyclic,71677000,8,1,4210896,0.000008,0.000013,1.704466,0.011549,0.072397,0.148856,1.937827,1.149566,1,A
mpi-blockcyclic,71677000,8,1,4210896,0.000011,0.000048,1.701888,0.005328,0.072334,0.144198,1.923897,1.069165,2,A
mpi-blockcyclic,71677000,8,1,4210896,0.000007,0.000017,1.706142,0.008096,0.072565,0.204337,1.992157,1.089326,3,A
mpi-blockcyclic,75768000,8,1,4436716,0.000008,0.000017,1.777297,0.011643,0.071826,0.148711,2.011625,1.056780,1,A
mpi-blockcyclic,75768000,8,1,4436716,0.000008,0.000027,1.820608,0.005140,0.078184,0.160371,2.066475,1.093905,2,A
mpi-blockcyclic,75768000,8,1,4436716,0.000007,0.000013,1.840440,0.005330,0.073720,0.151130,2.077187,1.115819,3,A
mpi-blockcyclic,80092000,8,1,4674432,0.000008,0.000021,1.915602,0.006767,0.077865,0.164376,2.165658,1.090892,1,A
mpi-blockcyclic,80092000,8,1,4674432,0.000010,0.000024,1.991356,0.005212,0.075155,0.157598,2.229431,1.151064,2,A
mpi-blockcyclic,80092000,8,1,4674432,0.000009,0.000028,2.015091,0.006281,0.081714,0.165099,2.268284,1.074744,3,A
mpi-blockcyclic,84662000,8,1,4925254,0.000009,0.000024,2.100348,0.010357,0.086542,0.175540,2.373985,1.063204,1,A
mpi-blockcyclic,84662000,8,1,4925254,0.000014,0.000016,2.137714,0.005703,0.080594,0.182373,2.413864,1.115471,2,A
mpi-blockcyclic,84662000,8,1,4925254,0.000008,0.000020,2.197101,0.005888,0.082278,0.167067,2.452446,1.109576,3,A
mpi-blockcyclic,89494000,8,1,5189503,0.000008,0.000016,2.456912,0.006078,0.097803,0.182263,2.745149,1.108232,1,A
mpi-blockcyclic,89494000,8,1,5189503,0.000008,0.000028,2.347232,0.005787,0.094655,0.183377,2.631148,1.079788,2,A
mpi-blockcyclic,89494000,8,1,5189503,0.000014,0.000021,2.294841,0.012124,0.093196,0.204510,2.604776,1.082658,3,A
mpi-blockcyclic,94601000,8,1,5467880,0.000009,0.000019,2.595903,0.006910,0.097442,0.186492,2.886894,1.067448,1,A
mpi-blockcyclic,94601000,8,1,5467880,0.000020,0.000031,2.713411,0.006061,0.100182,0.196268,3.020327,1.128008,2,A
mpi-blockcyclic,94601000,8,1,5467880,0.000009,0.000020,2.542330,0.006913,0.093264,0.190442,2.833056,1.088482,3,A
mpi-blockcyclic,100000000,8,1,5761455,0.000010,0.000023,2.901655,0.007226,0.102923,0.203716,3.221530,1.101260,1,A
mpi-blockcyclic,100000000,8,1,5761455,0.000019,0.000014,2.730584,0.003442,0.100282,0.206718,3.044688,1.062955,2,A
mpi-blockcyclic,100000000,8,1,5761455,0.000009,0.000029,2.758266,0.006742,0.102417,0.198155,3.065968,1.068375,3,A
