impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_lsort,t_comm,t_sort,t_io,t_total,imbalance,workers,rep,sweep
hybrid-blockcyclic,20000000,4,16,1270607,0.000106,0.000056,0.100732,0.016720,0.017124,0.053953,0.107707,0.326017,1.157046,64,1,A
hybrid-blockcyclic,20000000,4,16,1270607,0.000078,0.000096,0.110275,0.015689,0.014945,0.053320,0.111296,0.325736,1.276703,64,2,A
hybrid-blockcyclic,20000000,4,16,1270607,0.000083,0.000050,0.110869,0.016392,0.018562,0.053521,0.104738,0.325752,1.286722,64,3,A
hybrid-blockcyclic,21141000,4,16,1338321,0.000072,0.000039,0.119271,0.015779,0.017044,0.056423,0.121835,0.351726,1.275271,64,1,A
hybrid-blockcyclic,21141000,4,16,1338321,0.000069,0.000036,0.119269,0.016545,0.013743,0.056417,0.113576,0.339953,1.249108,64,2,A
hybrid-blockcyclic,21141000,4,16,1338321,0.000075,0.000027,0.129245,0.018001,0.013971,0.056395,0.114494,0.353382,1.387041,64,3,A
hybrid-blockcyclic,22347000,4,16,1409642,0.000076,0.000040,0.119744,0.018114,0.019179,0.058597,0.113745,0.349700,1.182162,64,1,A
hybrid-blockcyclic,22347000,4,16,1409642,0.000076,0.000037,0.120369,0.016483,0.013583,0.058923,0.113516,0.344902,1.195255,64,2,A
hybrid-blockcyclic,22347000,4,16,1409642,0.000072,0.000053,0.122610,0.016508,0.014955,0.058581,0.111241,0.345838,1.220602,64,3,A
hybrid-blockcyclic,23623000,4,16,1484957,0.000073,0.000041,0.143393,0.018260,0.019288,0.068344,0.165852,0.436865,1.315357,64,1,A
hybrid-blockcyclic,23623000,4,16,1484957,0.000077,0.000027,0.139393,0.018887,0.014371,0.062708,0.168223,0.424662,1.278638,64,2,A
hybrid-blockcyclic,23623000,4,16,1484957,0.000084,0.000046,0.124394,0.020051,0.023163,0.076126,0.162243,0.427587,1.135654,64,3,A
hybrid-blockcyclic,24971000,4,16,1564236,0.000069,0.000023,0.138895,0.020614,0.013199,0.066388,0.141655,0.402224,1.179377,64,1,A
hybrid-blockcyclic,24971000,4,16,1564236,0.000087,0.000029,0.143463,0.020454,0.015573,0.066289,0.140667,0.407009,1.222037,64,2,A
hybrid-blockcyclic,24971000,4,16,1564236,0.000070,0.000026,0.138866,0.024220,0.019847,0.078292,0.140062,0.423278,1.180387,64,3,A
hybrid-blockcyclic,26396000,4,16,1647664,0.000087,0.000038,0.172431,0.027124,0.021121,0.097297,0.188790,0.528153,1.353674,64,1,A
hybrid-blockcyclic,26396000,4,16,1647664,0.000073,0.000026,0.173027,0.021238,0.021464,0.069359,0.160120,0.466540,1.351921,64,2,A
hybrid-blockcyclic,26396000,4,16,1647664,0.000083,0.000048,0.191965,0.021183,0.022497,0.069389,0.149388,0.485407,1.507475,64,3,A
hybrid-blockcyclic,27902000,4,16,1735706,0.000073,0.000037,0.170208,0.022442,0.020127,0.108932,0.206474,0.559394,1.230108,64,1,A
hybrid-blockcyclic,27902000,4,16,1735706,0.000082,0.000040,0.178090,0.022536,0.019061,0.075288,0.163462,0.479640,1.296827,64,2,A
hybrid-blockcyclic,27902000,4,16,1735706,0.000071,0.000027,0.168463,0.021008,0.016505,0.079996,0.188752,0.496546,1.184726,64,3,A
hybrid-blockcyclic,29494000,4,16,1828356,0.000070,0.000038,0.176126,0.022532,0.020900,0.077673,0.187787,0.505912,1.187538,64,1,A
hybrid-blockcyclic,29494000,4,16,1828356,0.000070,0.000037,0.181768,0.022529,0.017590,0.076670,0.186303,0.506833,1.224702,64,2,A
hybrid-blockcyclic,29494000,4,16,1828356,0.000073,0.000023,0.188386,0.023491,0.016112,0.076505,0.215853,0.544010,1.268218,64,3,A
hybrid-blockcyclic,31178000,4,16,1926228,0.000071,0.000023,0.170951,0.023274,0.021571,0.081785,0.193579,0.512683,1.063726,64,1,A
hybrid-blockcyclic,31178000,4,16,1926228,0.000073,0.000023,0.178431,0.022530,0.019153,0.080838,0.211893,0.535754,1.110452,64,2,A
hybrid-blockcyclic,31178000,4,16,1926228,0.000074,0.000025,0.168435,0.023281,0.017484,0.080712,0.183375,0.495585,1.048428,64,3,A
hybrid-blockcyclic,32957000,4,16,2029180,0.000101,0.000043,0.198379,0.025752,0.021375,0.085945,0.205447,0.558398,1.137054,64,1,A
hybrid-blockcyclic,32957000,4,16,2029180,0.000074,0.000050,0.200182,0.024630,0.021387,0.088192,0.191287,0.547229,1.153264,64,2,A
hybrid-blockcyclic,32957000,4,16,2029180,0.000081,0.000044,0.210906,0.024049,0.019060,0.086411,0.218615,0.580928,1.215366,64,3,A
hybrid-blockcyclic,34838000,4,16,2137395,0.000074,0.000037,0.374551,0.028025,0.034685,0.090606,0.241192,0.790651,1.962636,64,1,A
