impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
serial,54309000,1,1,3243460,0.000050,22.670470,0.000000,0.402362,23.072886,1,A
pthreads,54309000,1,16,3243460,0.000134,1.970484,0.005986,0.422190,2.398800,1,A
openmp-dynamic-4096,54309000,1,16,3243460,0.000034,1.431593,0.102706,0.439223,1.973561,1,A
serial,54309000,1,1,3243460,0.000058,22.536016,0.000000,0.440127,22.976205,2,A
pthreads,54309000,1,16,3243460,0.000136,2.011028,0.004022,0.346384,2.361576,2,A
openmp-dynamic-4096,54309000,1,16,3243460,0.000047,1.422592,0.101826,0.478308,2.002777,2,A
serial,54309000,1,1,3243460,0.000054,22.289458,0.000000,0.285738,22.575255,3,A
pthreads,54309000,1,16,3243460,0.000104,1.971724,0.003738,0.291604,2.267173,3,A
openmp-dynamic-4096,54309000,1,16,3243460,0.000029,1.412725,0.062707,0.442891,1.918357,3,A
serial,57408000,1,1,3417382,0.000063,24.115384,0.000000,0.353853,24.469309,1,A
pthreads,57408000,1,16,3417382,0.000108,2.387369,0.004307,0.328763,2.720552,1,A
openmp-dynamic-4096,57408000,1,16,3417382,0.000027,1.576419,0.073097,0.368986,2.018534,1,A
serial,57408000,1,1,3417382,0.000057,24.129839,0.000000,0.309163,24.439065,2,A
pthreads,57408000,1,16,3417382,0.000110,2.880124,0.004838,0.348915,3.233992,2,A
openmp-dynamic-4096,57408000,1,16,3417382,0.000028,1.527958,0.071438,0.324822,1.924251,2,A
serial,57408000,1,1,3417382,0.000048,24.131361,0.000000,0.319751,24.451163,3,A
pthreads,57408000,1,16,3417382,0.000106,2.140422,0.004631,0.283860,2.429023,3,A
openmp-dynamic-4096,57408000,1,16,3417382,0.000030,1.515260,0.065399,0.368105,1.948798,3,A
serial,60684000,1,1,3600335,0.000048,26.081706,0.000000,0.367875,26.449633,1,A
pthreads,60684000,1,16,3600335,0.000115,2.387642,0.004563,0.346113,2.738440,1,A
openmp-dynamic-4096,60684000,1,16,3600335,0.000027,1.651182,0.069509,0.352814,2.073537,1,A
serial,60684000,1,1,3600335,0.000048,26.252215,0.000000,0.321349,26.573616,2,A
pthreads,60684000,1,16,3600335,0.000118,2.443861,0.004881,0.312334,2.761199,2,A
openmp-dynamic-4096,60684000,1,16,3600335,0.000034,1.667355,0.071581,0.325558,2.064534,2,A
serial,60684000,1,1,3600335,0.000053,26.093759,0.000000,0.286696,26.380513,3,A
pthreads,60684000,1,16,3600335,0.000113,2.362751,0.004299,0.324203,2.691370,3,A
openmp-dynamic-4096,60684000,1,16,3600335,0.000028,1.724077,0.070968,0.329069,2.124147,3,A
serial,64147000,1,1,3793289,0.000063,28.260760,0.000000,0.327435,28.588265,1,A
pthreads,64147000,1,16,3793289,0.000115,2.521506,0.005572,0.322164,2.849362,1,A
openmp-dynamic-4096,64147000,1,16,3793289,0.000029,1.782141,0.081403,0.297549,2.161127,1,A
serial,64147000,1,1,3793289,0.000051,28.288348,0.000000,0.303857,28.592261,2,A
pthreads,64147000,1,16,3793289,0.000121,2.662323,0.005826,0.306973,2.975248,2,A
openmp-dynamic-4096,64147000,1,16,3793289,0.000042,3.384051,0.076261,0.299710,3.760070,2,A
serial,64147000,1,1,3793289,0.000058,28.288066,0.000000,0.312269,28.600398,3,A
pthreads,64147000,1,16,3793289,0.000114,2.501889,0.005394,0.322565,2.829968,3,A
openmp-dynamic-4096,64147000,1,16,3793289,0.000030,1.812282,0.076111,0.323022,2.211451,3,A
serial,67808000,1,1,3996668,0.000052,30.581981,0.000000,0.396684,30.978720,1,A
pthreads,67808000,1,16,3996668,0.000131,4.224293,0.005198,0.336742,4.566368,1,A
openmp-dynamic-4096,67808000,1,16,3996668,0.000028,1.952773,0.081463,0.352634,2.386902,1,A
serial,67808000,1,1,3996668,0.000057,30.592181,0.000000,0.342109,30.934353,2,A
pthreads,67808000,1,16,3996668,0.000114,2.709689,0.004541,0.367605,3.081955,2,A
openmp-dynamic-4096,67808000,1,16,3996668,0.000029,2.108273,0.079290,0.376675,2.564272,2,A
serial,67808000,1,1,3996668,0.000050,30.562154,0.000000,0.323468,30.885676,3,A
pthreads,67808000,1,16,3996668,0.000107,2.706956,0.004398,0.403474,3.114938,3,A
openmp-dynamic-4096,67808000,1,16,3996668,0.000027,2.045285,0.077853,0.361740,2.484910,3,A
serial,71677000,1,1,4210896,0.000049,33.071605,0.000000,0.372159,33.443817,1,A
pthreads,71677000,1,16,4210896,0.000115,2.929786,0.005661,0.339810,3.275377,1,A
openmp-dynamic-4096,71677000,1,16,4210896,0.000027,2.220882,0.080952,0.415521,2.717387,1,A
serial,71677000,1,1,4210896,0.000062,33.084026,0.000000,0.360817,33.444910,2,A
pthreads,71677000,1,16,4210896,0.000179,2.931469,0.005876,0.426286,3.363815,2,A
openmp-dynamic-4096,71677000,1,16,4210896,0.000032,2.291014,0.137985,0.409865,2.838901,2,A
serial,71677000,1,1,4210896,0.000051,33.182776,0.000000,0.366289,33.549122,3,A
pthreads,71677000,1,16,4210896,0.000129,2.988966,0.006296,0.410406,3.405803,3,A
openmp-dynamic-4096,71677000,1,16,4210896,0.000029,2.292026,0.087080,0.359423,2.738562,3,A
serial,75768000,1,1,4436716,0.000058,35.854238,0.000000,0.423681,36.277980,1,A
pthreads,75768000,1,16,4436716,0.000123,4.715007,0.006579,0.431328,5.153041,1,A
openmp-dynamic-4096,75768000,1,16,4436716,0.000041,2.560347,0.091795,0.435074,3.087262,1,A
serial,75768000,1,1,4436716,0.000052,35.831590,0.000000,0.403390,36.235037,2,A
