impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
serial,80092000,1,1,4674432,0.000060,39.044235,0.000000,0.316758,39.361057,1,A
pthreads,80092000,1,16,4674432,0.000167,3.856707,0.004961,0.332517,4.194357,1,A
openmp-dynamic-4096,80092000,1,16,4674432,0.000031,2.502267,0.092341,0.338085,2.932734,1,A
serial,80092000,1,1,4674432,0.000064,38.767181,0.000000,0.329259,39.096508,2,A
pthreads,80092000,1,16,4674432,0.000115,3.431770,0.005234,0.339283,3.776406,2,A
openmp-dynamic-4096,80092000,1,16,4674432,0.000031,2.438046,0.089928,0.351462,2.879470,2,A
serial,80092000,1,1,4674432,0.000055,38.759057,0.000000,0.345967,39.105084,3,A
pthreads,80092000,1,16,4674432,0.000111,3.432655,0.005313,0.344081,3.782165,3,A
openmp-dynamic-4096,80092000,1,16,4674432,0.000030,2.428617,0.091518,0.336778,2.856949,3,A
serial,84662000,1,1,4925254,0.000054,41.958370,0.000000,0.325289,42.283716,1,A
pthreads,84662000,1,16,4925254,0.000110,3.722002,0.005490,0.344534,4.072141,1,A
openmp-dynamic-4096,84662000,1,16,4925254,0.000029,2.631719,0.097004,0.341522,3.070278,1,A
serial,84662000,1,1,4925254,0.000053,41.958030,0.000000,0.326266,42.284353,2,A
pthreads,84662000,1,16,4925254,0.000109,3.723537,0.005477,0.348528,4.077655,2,A
openmp-dynamic-4096,84662000,1,16,4925254,0.000032,2.628301,0.096079,0.340559,3.064975,2,A
serial,84662000,1,1,4925254,0.000054,41.961204,0.000000,0.332835,42.294097,3,A
pthreads,84662000,1,16,4925254,0.000117,3.719352,0.005454,0.351805,4.076733,3,A
openmp-dynamic-4096,84662000,1,16,4925254,0.000032,2.629292,0.095590,0.360085,3.085004,3,A
serial,89494000,1,1,5189503,0.000050,45.444502,0.000000,0.342259,45.786816,1,A
pthreads,89494000,1,16,5189503,0.000112,4.024724,0.006202,0.365123,4.396166,1,A
openmp-dynamic-4096,89494000,1,16,5189503,0.000030,2.861820,0.103274,0.378893,3.344021,1,A
serial,89494000,1,1,5189503,0.000055,45.433982,0.000000,0.345053,45.779095,2,A
pthreads,89494000,1,16,5189503,0.000121,4.023376,0.005542,0.375126,4.404169,2,A
openmp-dynamic-4096,89494000,1,16,5189503,0.000030,2.845641,0.100590,0.375156,3.321422,2,A
serial,89494000,1,1,5189503,0.000054,45.427212,0.000000,0.352435,45.779706,3,A
pthreads,89494000,1,16,5189503,0.000121,4.120315,0.005845,0.377348,4.503634,3,A
openmp-dynamic-4096,89494000,1,16,5189503,0.000031,2.846729,0.100871,0.371373,3.319008,3,A
serial,94601000,1,1,5467880,0.000053,49.165660,0.000000,0.366640,49.532359,1,A
pthreads,94601000,1,16,5467880,0.000112,4.373785,0.006091,0.392815,4.772809,1,A
openmp-dynamic-4096,94601000,1,16,5467880,0.000033,3.161740,0.106902,0.381488,3.650168,1,A
serial,94601000,1,1,5467880,0.000055,49.184330,0.000000,0.407249,49.591639,2,A
pthreads,94601000,1,16,5467880,0.000142,4.390714,0.007919,0.391640,4.790419,2,A
openmp-dynamic-4096,94601000,1,16,5467880,0.000024,3.223056,0.108769,0.417792,3.749646,2,A
serial,94601000,1,1,5467880,0.000054,49.159768,0.000000,0.368741,49.528569,3,A
pthreads,94601000,1,16,5467880,0.000111,4.800081,0.008026,0.401772,5.209994,3,A
openmp-dynamic-4096,94601000,1,16,5467880,0.000037,3.179592,0.105707,0.384021,3.669362,3,A
serial,100000000,1,1,5761455,0.000055,53.248082,0.000000,0.396059,53.644201,1,A
pthreads,100000000,1,16,5761455,0.000132,4.762742,0.008093,0.420881,5.191852,1,A
openmp-dynamic-4096,100000000,1,16,5761455,0.000031,3.695653,0.115279,0.405769,4.216737,1,A
serial,100000000,1,1,5761455,0.000055,53.273307,0.000000,0.392511,53.665878,2,A
pthreads,100000000,1,16,5761455,0.000103,6.805573,0.006142,0.404108,7.215929,2,A
openmp-dynamic-4096,100000000,1,16,5761455,0.000030,3.444489,0.112025,0.420658,3.977207,2,A
serial,100000000,1,1,5761455,0.000073,53.226220,0.000000,0.386285,53.612585,3,A
pthreads,100000000,1,16,5761455,0.000112,4.719512,0.007347,0.408467,5.135443,3,A
openmp-dynamic-4096,100000000,1,16,5761455,0.000031,3.338792,0.111938,0.411502,3.862268,3,A
