impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_lsort,t_comm,t_sort,t_io,t_total,imbalance,workers,rep,sweep
hybrid-blockcyclic,45979000,4,16,2773856,0.000078,0.000025,0.376468,0.034241,0.035830,0.126480,0.259100,0.851529,1.350145,64,1,A
hybrid-blockcyclic,45979000,4,16,2773856,0.000080,0.000022,0.330200,0.034675,0.027993,0.120581,0.274259,0.807929,1.178246,64,2,A
hybrid-blockcyclic,45979000,4,16,2773856,0.000081,0.000034,0.296035,0.033890,0.027103,0.123691,0.255393,0.757170,1.033505,64,3,A
hybrid-blockcyclic,48603000,4,16,2922171,0.000080,0.000031,0.358502,0.036413,0.030943,0.129463,0.302173,0.878135,1.179076,64,1,A
hybrid-blockcyclic,48603000,4,16,2922171,0.000088,0.000021,0.403452,0.040931,0.046320,0.157409,0.374498,1.041836,1.333586,64,2,A
hybrid-blockcyclic,48603000,4,16,2922171,0.000099,0.000048,0.542796,0.037680,0.056661,0.128585,0.261490,1.048536,1.788395,64,3,A
hybrid-blockcyclic,51377000,4,16,3078697,0.000089,0.000050,0.453435,0.051421,0.044233,0.139047,0.265016,0.984427,1.380867,64,1,A
hybrid-blockcyclic,51377000,4,16,3078697,0.000076,0.000062,0.332834,0.037518,0.032733,0.134562,0.266997,0.826405,1.022416,64,2,A
hybrid-blockcyclic,51377000,4,16,3078697,0.000076,0.000031,0.403957,0.044401,0.037444,0.135677,0.259161,0.902245,1.220990,64,3,A
hybrid-blockcyclic,54309000,4,16,3243460,0.000076,0.000025,0.680065,0.040360,0.034163,0.141120,0.311933,1.228551,1.920762,64,1,A
hybrid-blockcyclic,54309000,4,16,3243460,0.000093,0.000046,0.424999,0.039529,0.034560,0.139306,0.279130,0.937496,1.196645,64,2,A
hybrid-blockcyclic,54309000,4,16,3243460,0.000082,0.000042,0.425374,0.045149,0.033883,0.138176,0.304118,0.968568,1.181906,64,3,A
hybrid-blockcyclic,57408000,4,16,3417382,0.000080,0.000025,0.400219,0.046727,0.035378,0.154986,0.305835,0.958232,1.044242,64,1,A
hybrid-blockcyclic,57408000,4,16,3417382,0.000096,0.000024,0.463898,0.042401,0.042795,0.147473,0.297337,1.015218,1.194788,64,2,A
hybrid-blockcyclic,57408000,4,16,3417382,0.000084,0.000035,0.499670,0.042163,0.041416,0.145683,0.278054,1.028352,1.293780,64,3,A
hybrid-blockcyclic,60684000,4,16,3600335,0.000077,0.000056,0.425531,0.042422,0.043039,0.157268,0.313030,1.002984,1.028926,64,1,A
hybrid-blockcyclic,60684000,4,16,3600335,0.000082,0.000024,0.423699,0.043193,0.039365,0.159350,0.317300,1.004139,1.009121,64,2,A
hybrid-blockcyclic,60684000,4,16,3600335,0.000076,0.000039,0.427963,0.043582,0.040792,0.158858,0.324003,1.015261,1.036122,64,3,A
hybrid-blockcyclic,64147000,4,16,3793289,0.000072,0.000035,0.506602,0.046501,0.035086,0.166863,0.346196,1.123563,1.096317,64,1,A
