impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
serial,20000000,1,1,1270607,0.000053,5.371752,0.000000,0.116875,5.488684,1,A
pthreads,20000000,1,16,1270607,0.000104,0.471616,0.001881,0.113890,0.587495,1,A
openmp-dynamic-4096,20000000,1,16,1270607,0.000026,0.339200,0.023881,0.120261,0.483371,1,A
serial,20000000,1,1,1270607,0.000062,5.372105,0.000000,0.116442,5.488615,2,A
pthreads,20000000,1,16,1270607,0.000133,0.471327,0.002366,0.117052,0.590883,2,A
openmp-dynamic-4096,20000000,1,16,1270607,0.000026,0.338318,0.023983,0.113968,0.476298,2,A
serial,20000000,1,1,1270607,0.000053,5.372731,0.000000,0.108828,5.481616,3,A
pthreads,20000000,1,16,1270607,0.000104,0.471340,0.002322,0.110909,0.584679,3,A
openmp-dynamic-4096,20000000,1,16,1270607,0.000025,0.338443,0.023789,0.102973,0.465233,3,A
serial,21141000,1,1,1338321,0.000052,5.823525,0.000000,0.113977,5.937558,1,A
pthreads,21141000,1,16,1338321,0.000139,0.511328,0.006819,0.115908,0.634199,1,A
openmp-dynamic-4096,21141000,1,16,1338321,0.000033,0.726881,0.027923,0.117675,0.872516,1,A
serial,21141000,1,1,1338321,0.000075,5.818602,0.000000,0.121634,5.940317,2,A
pthreads,21141000,1,16,1338321,0.000145,0.524711,0.006790,0.116011,0.647664,2,A
openmp-dynamic-4096,21141000,1,16,1338321,0.000085,0.390082,0.031158,0.120156,0.541490,2,A
serial,21141000,1,1,1338321,0.000062,5.814345,0.000000,0.123437,5.937851,3,A
pthreads,21141000,1,16,1338321,0.000141,0.543049,0.008993,0.133990,0.686180,3,A
openmp-dynamic-4096,21141000,1,16,1338321,0.000056,0.373627,0.026189,0.114461,0.514355,3,A
serial,22347000,1,1,1409642,0.000062,6.305557,0.000000,0.113925,6.419548,1,A
pthreads,22347000,1,16,1409642,0.000148,0.567617,0.003743,0.124474,0.695989,1,A
openmp-dynamic-4096,22347000,1,16,1409642,0.000030,0.398168,0.027148,0.137239,0.562591,1,A
serial,22347000,1,1,1409642,0.000062,6.299979,0.000000,0.125720,6.425766,2,A
pthreads,22347000,1,16,1409642,0.000155,0.567620,0.004915,0.124525,0.697219,2,A
openmp-dynamic-4096,22347000,1,16,1409642,0.000058,0.398551,0.031053,0.124816,0.554487,2,A
serial,22347000,1,1,1409642,0.000059,6.300174,0.000000,0.151512,6.451752,3,A
pthreads,22347000,1,16,1409642,0.000129,0.655871,0.005565,0.134275,0.795847,3,A
openmp-dynamic-4096,22347000,1,16,1409642,0.000030,0.404456,0.028390,0.130552,0.563433,3,A
serial,23623000,1,1,1484957,0.000053,6.809302,0.000000,0.138598,6.947959,1,A
pthreads,23623000,1,16,1484957,0.000144,0.622039,0.008026,0.138520,0.768733,1,A
openmp-dynamic-4096,23623000,1,16,1484957,0.000041,0.441137,0.028813,0.165677,0.635676,1,A
serial,23623000,1,1,1484957,0.000061,6.803911,0.000000,0.169381,6.973360,2,A
pthreads,23623000,1,16,1484957,0.000187,0.606593,0.003600,0.202146,0.812533,2,A
openmp-dynamic-4096,23623000,1,16,1484957,0.000039,0.492833,0.032653,0.163843,0.689375,2,A
serial,23623000,1,1,1484957,0.000063,6.813110,0.000000,0.144608,6.957785,3,A
pthreads,23623000,1,16,1484957,0.000120,0.600411,0.003250,0.139745,0.743530,3,A
openmp-dynamic-4096,23623000,1,16,1484957,0.000029,0.436412,0.028511,0.130350,0.595307,3,A
serial,24971000,1,1,1564236,0.000064,7.377551,0.000000,0.134892,7.512511,1,A
pthreads,24971000,1,16,1564236,0.000168,0.648825,0.004282,0.159912,0.813196,1,A
openmp-dynamic-4096,24971000,1,16,1564236,0.000038,0.471840,0.032639,0.149499,0.654022,1,A
serial,24971000,1,1,1564236,0.000101,7.364210,0.000000,0.133365,7.497683,2,A
pthreads,24971000,1,16,1564236,0.000145,0.651352,0.002960,0.153654,0.808117,2,A
openmp-dynamic-4096,24971000,1,16,1564236,0.000035,0.473060,0.030258,0.167676,0.671033,2,A
serial,24971000,1,1,1564236,0.000067,7.385180,0.000000,0.159813,7.545068,3,A
pthreads,24971000,1,16,1564236,0.000141,0.656804,0.007288,0.143383,0.807621,3,A
openmp-dynamic-4096,24971000,1,16,1564236,0.000053,0.477830,0.031960,0.188472,0.698323,3,A
serial,26396000,1,1,1647664,0.000081,7.984997,0.000000,0.181499,8.166582,1,A
pthreads,26396000,1,16,1647664,0.000125,0.710311,0.003178,0.159618,0.873238,1,A
openmp-dynamic-4096,26396000,1,16,1647664,0.000044,0.510296,0.033221,0.148742,0.692309,1,A
serial,26396000,1,1,1647664,0.000062,7.994878,0.000000,0.159282,8.154228,2,A
pthreads,26396000,1,16,1647664,0.000125,0.701007,0.003599,0.161161,0.865895,2,A
openmp-dynamic-4096,26396000,1,16,1647664,0.000031,0.510661,0.031437,0.160966,0.703101,2,A
serial,26396000,1,1,1647664,0.000062,7.969733,0.000000,0.173588,8.143388,3,A
pthreads,26396000,1,16,1647664,0.000128,0.846969,0.003646,0.184923,1.035672,3,A
openmp-dynamic-4096,26396000,1,16,1647664,0.000040,0.512180,0.032905,0.171195,0.716328,3,A
serial,27902000,1,1,1735706,0.000062,8.628315,0.000000,0.177427,8.805808,1,A
pthreads,27902000,1,16,1735706,0.000129,1.230485,0.007921,0.210307,1.448846,1,A
openmp-dynamic-4096,27902000,1,16,1735706,0.000030,0.590362,0.035036,0.196534,0.821967,1,A
serial,27902000,1,1,1735706,0.000055,8.625256,0.000000,0.158711,8.784026,2,A
pthreads,27902000,1,16,1735706,0.000151,0.769809,0.007185,0.160984,0.938134,2,A
openmp-dynamic-4096,27902000,1,16,1735706,0.000039,0.549279,0.058088,0.179161,0.786575,2,A
serial,27902000,1,1,1735706,0.000062,8.624542,0.000000,0.179350,8.803959,3,A
pthreads,27902000,1,16,1735706,0.000126,0.825258,0.007721,0.218997,1.052109,3,A
openmp-dynamic-4096,27902000,1,16,1735706,0.000041,0.607068,0.039838,0.180660,0.827613,3,A
serial,29494000,1,1,1828356,0.000065,9.344722,0.000000,0.179915,9.524709,1,A
pthreads,29494000,1,16,1828356,0.000135,0.832760,0.006719,0.172237,1.011856,1,A
openmp-dynamic-4096,29494000,1,16,1828356,0.000029,0.598731,0.036040,0.196099,0.830904,1,A
serial,29494000,1,1,1828356,0.000060,9.342812,0.000000,0.192006,9.534883,2,A
pthreads,29494000,1,16,1828356,0.000128,0.913189,0.004142,0.169794,1.087258,2,A
