impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_comm,t_sort,t_io,t_total,imbalance,rep,sweep
mpi-blockcyclic,100000000,1,1,5761455,0.000045,0.000000,53.198645,0.008579,0.233930,0.476673,53.917962,1.000000,1,B
mpi-blockcyclic,100000000,1,1,5761455,0.000033,0.000000,53.195909,0.008157,0.233129,0.629141,54.066514,1.000000,2,B
mpi-blockcyclic,100000000,1,1,5761455,0.000032,0.000000,53.187998,0.006294,0.233699,0.544124,53.972238,1.000000,3,B
mpi-blockcyclic,100000000,2,1,5761455,0.000044,0.000019,26.614046,0.017473,0.256876,0.583025,27.481952,1.000644,1,B
mpi-blockcyclic,100000000,2,1,5761455,0.000036,0.000015,26.611577,0.017639,0.246161,0.589638,27.475899,1.000416,2,B
mpi-blockcyclic,100000000,2,1,5761455,0.000035,0.000013,26.601808,0.018712,0.248109,0.507525,27.396621,1.000049,3,B
mpi-blockcyclic,100000000,4,1,5761455,0.000040,0.000019,13.318267,0.045979,0.257917,0.528068,14.182081,1.002534,1,B
mpi-blockcyclic,100000000,4,1,5761455,0.000064,0.000056,13.334210,0.056684,0.253729,0.612838,14.281410,1.003603,2,B
mpi-blockcyclic,100000000,4,1,5761455,0.000036,0.000020,13.341849,0.049258,0.258274,0.616547,14.288493,1.004223,3,B
mpi-blockcyclic,100000000,8,1,5761455,0.000041,0.000037,6.709185,0.062347,0.284347,0.589092,7.677083,1.009189,1,B
mpi-blockcyclic,100000000,8,1,5761455,0.000042,0.000053,6.801444,0.059132,0.272412,0.527851,7.682370,1.022881,2,B
mpi-blockcyclic,100000000,8,1,5761455,0.000047,0.000057,6.727219,0.054532,0.272303,0.515290,7.600860,1.011810,3,B
mpi-blockcyclic,100000000,12,1,5761455,0.000038,0.000024,4.458829,0.056574,0.286496,0.531591,5.372115,1.005873,1,B
mpi-blockcyclic,100000000,12,1,5761455,0.000052,0.000024,4.706750,0.065839,0.292938,0.469364,5.557443,1.062012,2,B
mpi-blockcyclic,100000000,12,1,5761455,0.000039,0.000033,4.448885,0.060489,0.284609,0.605481,5.433017,1.004004,3,B
mpi-blockcyclic,100000000,16,1,5761455,0.000045,0.000042,3.633641,0.065463,0.290096,0.691383,4.699439,1.093658,1,B
mpi-blockcyclic,100000000,16,1,5761455,0.000042,0.000045,3.357106,0.068554,0.290863,0.645222,4.381119,1.010142,2,B
mpi-blockcyclic,100000000,16,1,5761455,0.000042,0.000049,3.334215,0.068922,0.290187,0.615752,4.330363,1.002774,3,B
mpi-blockcyclic,100000000,24,1,5761455,0.000033,0.000039,2.563967,0.070055,0.293770,0.586949,3.559894,1.157818,1,B
mpi-blockcyclic,100000000,24,1,5761455,0.000039,0.000050,2.238271,0.071470,0.292573,0.550683,3.192350,1.010494,2,B
mpi-blockcyclic,100000000,24,1,5761455,0.000051,0.000081,2.245017,0.063103,0.293886,0.550459,3.193149,1.014008,3,B
mpi-blockcyclic,100000000,32,1,5761455,0.000042,0.000034,1.669234,0.072764,0.303326,0.506221,2.572992,1.005440,1,B
mpi-blockcyclic,100000000,32,1,5761455,0.000040,0.000031,1.682000,0.074682,0.304039,0.490856,2.573218,1.013255,2,B
mpi-blockcyclic,100000000,32,1,5761455,0.000040,0.000018,1.888978,0.093528,0.305334,0.484271,2.802353,1.138862,3,B
mpi-blockcyclic,100000000,48,1,5761455,0.000036,0.000018,1.552914,0.082810,0.304314,0.495169,2.457648,1.402917,1,B
mpi-blockcyclic,100000000,48,1,5761455,0.000053,0.000032,1.151143,0.091468,0.305769,0.535825,2.105656,1.040316,2,B
mpi-blockcyclic,100000000,48,1,5761455,0.000040,0.000024,1.259030,0.092541,0.305282,0.624217,2.301748,1.138959,3,B
mpi-blockcyclic,100000000,64,1,5761455,0.000123,0.000062,1.348696,0.100450,0.308745,0.556064,2.348012,1.627914,1,B
mpi-blockcyclic,100000000,64,1,5761455,0.000042,0.000077,1.289770,0.111825,0.310691,0.514325,2.250201,1.558251,2,B
mpi-blockcyclic,100000000,64,1,5761455,0.000044,0.000054,1.266120,0.101285,0.310260,0.455173,2.165865,1.528290,3,B
mpi-block,100000000,16,1,5761455,0.000041,0.000051,4.929436,0.066371,0.000000,0.462711,5.471244,4.766161,1,C
mpi-block,100000000,16,1,5761455,0.000038,0.000042,4.689743,0.063502,0.000000,0.511378,5.286416,4.536168,2,C
mpi-block,100000000,16,1,5761455,0.000040,0.000043,4.691889,0.067313,0.000000,0.570578,5.351348,4.534138,3,C
mpi-cyclic,100000000,16,1,5761455,0.000037,0.000053,3.356848,0.066166,0.378917,0.511822,4.325089,1.006069,1,C
mpi-cyclic,100000000,16,1,5761455,0.000040,0.000057,3.755937,0.060773,0.375703,0.529915,4.741785,1.124224,2,C
mpi-cyclic,100000000,16,1,5761455,0.000042,0.000058,3.351341,0.069844,0.374637,0.535363,4.352021,1.003767,3,C
mpi-blockcyclic,100000000,16,1,5761455,0.000037,0.000048,3.786199,0.068935,0.289294,0.488253,4.652069,1.139624,1,C
mpi-blockcyclic,100000000,16,1,5761455,0.000053,0.000066,3.443546,0.060588,0.300617,0.525061,4.349526,1.036699,2,C
mpi-blockcyclic,100000000,16,1,5761455,0.000059,0.000081,3.390216,0.067280,0.290096,0.485647,4.246134,1.020010,3,C
mpi-dynamic,100000000,16,1,5761455,0.000038,0.000048,3.814432,0.073520,0.285241,0.469778,4.656550,1.002781,1,C
mpi-dynamic,100000000,16,1,5761455,0.000040,0.000033,3.781161,0.060608,0.284483,0.501481,4.639943,1.003267,2,C
mpi-dynamic,100000000,16,1,5761455,0.000045,0.000041,3.720145,0.074548,0.299042,0.567300,4.673208,1.003195,3,C
