impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
serial,100000000,1,1,5761455,0.000051,53.252905,0.000000,0.612777,53.865737,1,B
serial,100000000,1,1,5761455,0.000054,53.298717,0.000000,0.488022,53.786798,2,B
serial,100000000,1,1,5761455,0.000051,53.235712,0.000000,0.484256,53.720023,3,B
pthreads,100000000,1,6,5761455,0.000072,12.232037,0.006410,0.571881,12.810404,1,B
openmp-dynamic-4096,100000000,1,6,5761455,0.000049,8.889416,0.113369,0.537930,9.540771,1,B
pthreads,100000000,1,6,5761455,0.000085,12.248297,0.006391,0.522691,12.777468,2,B
openmp-dynamic-4096,100000000,1,6,5761455,0.000025,8.894835,0.112383,0.617664,9.624911,2,B
pthreads,100000000,1,6,5761455,0.000074,12.222306,0.007216,0.518520,12.748122,3,B
openmp-dynamic-4096,100000000,1,6,5761455,0.000031,8.891739,0.112583,0.557847,9.562205,3,B
pthreads,100000000,1,8,5761455,0.000082,9.307617,0.006355,0.534878,9.848935,1,B
openmp-dynamic-4096,100000000,1,8,5761455,0.000037,6.667498,0.114097,0.559352,7.340989,1,B
pthreads,100000000,1,8,5761455,0.000077,9.303759,0.007228,0.579290,9.890357,2,B
openmp-dynamic-4096,100000000,1,8,5761455,0.000033,6.673662,0.113383,0.564267,7.351352,2,B
pthreads,100000000,1,8,5761455,0.000079,9.299568,0.006137,0.554296,9.860084,3,B
openmp-dynamic-4096,100000000,1,8,5761455,0.000033,6.720537,0.112103,0.537162,7.369839,3,B
pthreads,100000000,1,10,5761455,0.000087,7.498671,0.006681,0.591849,8.097293,1,B
openmp-dynamic-4096,100000000,1,10,5761455,0.000027,6.152460,0.111981,0.515216,6.779690,1,B
pthreads,100000000,1,10,5761455,0.000090,7.490042,0.007325,0.566159,8.063622,2,B
openmp-dynamic-4096,100000000,1,10,5761455,0.000033,5.361504,0.129722,0.600374,6.091639,2,B
pthreads,100000000,1,10,5761455,0.000162,8.968448,0.007699,0.561068,9.537384,3,B
openmp-dynamic-4096,100000000,1,10,5761455,0.000033,5.366957,0.118405,0.596280,6.081682,3,B
pthreads,100000000,1,12,5761455,0.000108,8.300516,0.017249,0.583827,8.901705,1,B
openmp-dynamic-4096,100000000,1,12,5761455,0.000035,4.479990,0.128011,0.510908,5.118951,1,B
pthreads,100000000,1,12,5761455,0.000192,6.382653,0.016925,0.531545,6.931326,2,B
openmp-dynamic-4096,100000000,1,12,5761455,0.000044,4.707977,0.129350,0.483640,5.321020,2,B
pthreads,100000000,1,12,5761455,0.000181,6.371456,0.016171,0.500157,6.887970,3,B
openmp-dynamic-4096,100000000,1,12,5761455,0.000059,4.489545,0.121992,0.509026,5.120630,3,B
pthreads,100000000,1,14,5761455,0.000116,6.861243,0.016017,0.510318,7.387701,1,B
openmp-dynamic-4096,100000000,1,14,5761455,0.000064,3.874614,0.129243,0.528620,4.532551,1,B
pthreads,100000000,1,14,5761455,0.000178,5.358589,0.011938,0.532828,5.903538,2,B
openmp-dynamic-4096,100000000,1,14,5761455,0.000055,4.782647,0.130911,0.491826,5.405449,2,B
pthreads,100000000,1,14,5761455,0.000173,5.383975,0.015956,0.524818,5.924932,3,B
openmp-dynamic-4096,100000000,1,14,5761455,0.000070,3.856093,0.114650,0.608428,4.579254,3,B
pthreads,100000000,1,16,5761455,0.000195,4.787968,0.015751,0.505686,5.309608,1,B
openmp-dynamic-4096,100000000,1,16,5761455,0.000060,3.379211,0.119097,0.502659,4.001037,1,B
pthreads,100000000,1,16,5761455,0.000171,4.747353,0.017390,0.495940,5.260864,2,B
openmp-dynamic-4096,100000000,1,16,5761455,0.000055,3.378420,0.126492,0.505963,4.010937,2,B
pthreads,100000000,1,16,5761455,0.000341,4.708839,0.015732,0.474358,5.199285,3,B
openmp-dynamic-4096,100000000,1,16,5761455,0.000092,3.379804,0.127297,0.505662,4.012865,3,B
openmp-static-0,100000000,1,16,5761455,0.000045,4.740551,0.128722,0.530003,5.399331,1,C
openmp-static-0,100000000,1,16,5761455,0.000060,4.719687,0.130892,0.488315,5.338966,2,C
openmp-static-0,100000000,1,16,5761455,0.000060,4.760754,0.122234,0.494017,5.377079,3,C
openmp-static-4096,100000000,1,16,5761455,0.000059,3.525187,0.127753,0.527470,4.180479,1,C
openmp-static-4096,100000000,1,16,5761455,0.000059,3.370179,0.127956,0.495095,3.993297,2,C
openmp-static-4096,100000000,1,16,5761455,0.000061,3.370066,0.117392,0.567636,4.055164,3,C
openmp-dynamic-4096,100000000,1,16,5761455,0.000050,3.377070,0.122286,0.516959,4.016373,1,C
openmp-dynamic-4096,100000000,1,16,5761455,0.000045,3.375764,0.125686,0.519048,4.020550,2,C
openmp-dynamic-4096,100000000,1,16,5761455,0.000068,3.366101,0.124741,0.478576,3.969498,3,C
openmp-guided-0,100000000,1,16,5761455,0.000037,3.347141,0.118358,0.535043,4.000587,1,C
openmp-guided-0,100000000,1,16,5761455,0.000042,3.344141,0.119986,0.539436,4.003614,2,C
openmp-guided-0,100000000,1,16,5761455,0.000042,3.339326,0.126644,0.513461,3.979482,3,C
