impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_comm,t_sort,t_io,t_total,imbalance,rep,sweep
mpi-blockcyclic,45979000,16,1,2773856,0.000033,0.000050,1.285132,0.044708,0.131996,0.263214,1.759278,1.173372,1,A
mpi-blockcyclic,45979000,16,1,2773856,0.000041,0.000057,1.278712,0.045677,0.134473,0.261924,1.750862,1.167265,2,A
mpi-blockcyclic,45979000,16,1,2773856,0.000037,0.000059,1.122096,0.040933,0.134665,0.235076,1.554163,1.025495,3,A
mpi-blockcyclic,48603000,16,1,2922171,0.000035,0.000056,1.261477,0.050668,0.140418,0.316879,1.800973,1.063913,1,A
mpi-blockcyclic,48603000,16,1,2922171,0.000039,0.000050,1.262517,0.051787,0.140220,0.299539,1.776239,1.064451,2,A
mpi-blockcyclic,48603000,16,1,2922171,0.000042,0.000045,1.202261,0.047421,0.142392,0.255293,1.668070,1.014989,3,A
mpi-blockcyclic,51377000,16,1,3078697,0.000041,0.000037,1.298731,0.048655,0.146784,0.254270,1.779277,1.012343,1,A
mpi-blockcyclic,51377000,16,1,3078697,0.000052,0.000053,1.292485,0.047676,0.147988,0.250966,1.759854,1.008316,2,A
mpi-blockcyclic,51377000,16,1,3078697,0.000038,0.000054,1.295069,0.047880,0.147745,0.268760,1.779798,1.010187,3,A
mpi-blockcyclic,54309000,16,1,3243460,0.000039,0.000058,1.420679,0.053015,0.167889,0.288759,1.953037,1.023034,1,A
mpi-blockcyclic,54309000,16,1,3243460,0.000035,0.000056,1.437889,0.259638,0.155585,0.292745,2.175458,1.034079,2,A
mpi-blockcyclic,54309000,16,1,3243460,0.000038,0.000042,1.399961,0.053193,0.155644,0.305423,1.935582,1.006698,3,A
mpi-blockcyclic,57408000,16,1,3417382,0.000037,0.000035,1.549817,0.055340,0.162795,0.320150,2.105740,1.031342,1,A
mpi-blockcyclic,57408000,16,1,3417382,0.000039,0.000051,1.563071,0.051751,0.164159,0.311888,2.112697,1.040727,2,A
mpi-blockcyclic,57408000,16,1,3417382,0.000032,0.000044,1.773323,0.042905,0.164530,0.290486,2.291462,1.180611,3,A
mpi-blockcyclic,60684000,16,1,3600335,0.000036,0.000062,1.648527,0.056054,0.172330,0.309849,2.199483,1.013433,1,A
mpi-blockcyclic,60684000,16,1,3600335,0.000036,0.000060,1.714962,0.062963,0.172691,0.306197,2.275585,1.055046,2,A
mpi-blockcyclic,60684000,16,1,3600335,0.000036,0.000042,1.726992,0.051692,0.172388,0.287712,2.252214,1.061547,3,A
mpi-blockcyclic,64147000,16,1,3793289,0.000035,0.000054,1.826928,0.055871,0.186946,0.324036,2.424409,1.037800,1,A
mpi-blockcyclic,64147000,16,1,3793289,0.000059,0.000055,1.780667,0.054506,0.184098,0.323734,2.363273,1.010950,2,A
mpi-blockcyclic,64147000,16,1,3793289,0.000040,0.000056,1.781331,0.059206,0.184289,0.328275,2.383158,1.012081,3,A
mpi-blockcyclic,67808000,16,1,3996668,0.000036,0.000042,1.929929,0.065503,0.195321,0.346696,2.557858,1.011674,1,A
mpi-blockcyclic,67808000,16,1,3996668,0.000038,0.000037,1.931958,0.055845,0.196445,0.338759,2.543954,1.014402,2,A
mpi-blockcyclic,67808000,16,1,3996668,0.000047,0.000054,1.922907,0.054746,0.199355,0.321429,2.528927,1.008291,3,A
mpi-blockcyclic,71677000,16,1,4210896,0.000033,0.000042,2.357164,0.062447,0.205514,0.337313,2.975444,1.142162,1,A
mpi-blockcyclic,71677000,16,1,4210896,0.000039,0.000052,2.083729,0.060705,0.209017,0.346591,2.714869,1.009319,2,A
mpi-blockcyclic,71677000,16,1,4210896,0.000038,0.000063,2.168891,0.053502,0.205176,0.324126,2.782422,1.050119,3,A
mpi-blockcyclic,75768000,16,1,4436716,0.000050,0.000055,2.331813,0.065145,0.219690,0.393469,3.032766,1.044835,1,A
mpi-blockcyclic,75768000,16,1,4436716,0.000027,0.000055,2.436981,0.066480,0.215051,0.373913,3.100916,1.091020,2,A
mpi-blockcyclic,75768000,16,1,4436716,0.000038,0.000053,2.243504,0.061620,0.215487,0.359620,2.910721,1.004164,3,A
mpi-blockcyclic,80092000,16,1,4674432,0.000040,0.000061,2.428987,0.060880,0.234402,0.436450,3.190293,1.004605,1,A
mpi-blockcyclic,80092000,16,1,4674432,0.000034,0.000033,2.554560,0.065377,0.228439,0.401471,3.271283,1.056592,2,A
mpi-blockcyclic,80092000,16,1,4674432,0.000037,0.000064,2.430806,0.077040,0.227244,0.414322,3.180360,1.004339,3,A
mpi-blockcyclic,84662000,16,1,4925254,0.000048,0.000031,2.633507,0.073995,0.241897,0.556602,3.526571,1.005610,1,A
mpi-blockcyclic,84662000,16,1,4925254,0.000040,0.000037,2.629490,0.189573,0.241549,0.493367,3.581398,1.003787,2,A
mpi-blockcyclic,84662000,16,1,4925254,0.000033,0.000031,2.705405,0.067595,0.246271,0.514621,3.555321,1.033133,3,A
mpi-blockcyclic,89494000,16,1,5189503,0.000040,0.000062,2.842378,0.072177,0.257779,0.495035,3.697747,1.002875,1,A
mpi-blockcyclic,89494000,16,1,5189503,0.000057,0.000029,2.841949,0.072775,0.255390,0.458969,3.659550,1.002496,2,A
mpi-blockcyclic,89494000,16,1,5189503,0.000034,0.000065,2.841907,0.063448,0.255864,0.486987,3.668341,1.003093,3,A
mpi-blockcyclic,94601000,16,1,5467880,0.000040,0.000054,3.183623,0.071901,0.274402,0.530582,4.084986,1.036681,1,A
